zone;pollutant;emission;unit
BU03580200;PM10;0.015543;Mg
BU03580200;NOX;3.26403;Mg
BU03580205;PM10;0.00946396;Mg
BU03580205;NOX;1.9874316;Mg
BU03580206;PM10;0.01540484;Mg
BU03580206;NOX;3.2350164;Mg
BU03620001;PM10;0.0100166;Mg
BU03620001;NOX;2.103486;Mg
BU03620002;PM10;0.01084556;Mg
BU03620002;NOX;2.2775676;Mg
BU03620003;PM10;0.0131252;Mg
BU03620003;NOX;2.756292;Mg
BU03620004;NOX;1.740816;Mg
BU03620004;PM10;0.0082896;Mg
BU03620005;NOX;1.2040644;Mg
BU03620005;PM10;0.00573364;Mg
BU03620006;NOX;0.1740816;Mg
BU03620006;PM10;0.00082896;Mg
BU03620007;NOX;1.6537752;Mg
BU03620007;PM10;0.00787512;Mg
BU03620008;PM10;0.0079442;Mg
BU03620008;NOX;1.668282;Mg
BU03620009;PM10;0.01540484;Mg
BU03620009;NOX;3.2350164;Mg
BU03620010;NOX;1.6827888;Mg
BU03620010;PM10;0.00801328;Mg
BU03620011;NOX;1.7118024;Mg
BU03620011;PM10;0.00815144;Mg
BU03620012;PM10;0.00822052;Mg
BU03620012;NOX;1.7263092;Mg
BU03620013;PM10;0.0062172;Mg
BU03620013;NOX;1.305612;Mg
BU03620014;PM10;0.00870408;Mg
BU03620014;NOX;1.8278568;Mg
BU03620015;PM10;0.00711524;Mg
BU03620015;NOX;1.4942004;Mg
BU03620016;NOX;3.2930436;Mg
BU03620016;PM10;0.01568116;Mg
BU03620017;PM10;0.00801328;Mg
BU03620017;NOX;1.6827888;Mg
BU03620018;PM10;0.00511192;Mg
BU03620018;NOX;1.0735032;Mg
BU03620019;NOX;2.973894;Mg
BU03620019;PM10;0.0141614;Mg
BU03620020;PM10;0.0162338;Mg
BU03620020;NOX;3.409098;Mg
BU03630000;NOX;1.6392684;Mg
BU03630000;PM10;0.00780604;Mg
BU03630001;NOX;1.6247616;Mg
BU03630001;PM10;0.00773696;Mg
BU03630002;PM10;0.00974028;Mg
BU03630002;NOX;2.0454588;Mg
BU03630003;NOX;1.9729248;Mg
BU03630003;PM10;0.00939488;Mg
BU03630004;PM10;0.00594088;Mg
BU03630004;NOX;1.2475848;Mg
BU03630005;PM10;0.00670076;Mg
BU03630005;NOX;1.4071596;Mg
BU03630006;NOX;1.3926528;Mg
BU03630006;PM10;0.00663168;Mg
BU03630007;PM10;0.00787512;Mg
BU03630007;NOX;1.6537752;Mg
BU03630008;NOX;1.4942004;Mg
BU03630008;PM10;0.00711524;Mg
BU03630009;NOX;1.2620916;Mg
BU03630009;PM10;0.00600996;Mg
BU03630110;PM10;0.01056924;Mg
BU03630110;NOX;2.2195404;Mg
BU03630111;PM10;0;Mg
BU03630111;NOX;0;Mg
BU03630212;NOX;0;Mg
BU03630212;PM10;0;Mg
BU03630213;NOX;1.2911052;Mg
BU03630213;PM10;0.00614812;Mg
BU03630214;NOX;1.1750508;Mg
BU03630214;PM10;0.00559548;Mg
BU03630215;NOX;0.435204;Mg
BU03630215;PM10;0.0020724;Mg
BU03630216;NOX;1.233078;Mg
BU03630216;PM10;0.0058718;Mg
BU03630217;PM10;0.00642444;Mg
BU03630217;NOX;1.3491324;Mg
BU03630218;PM10;0.0058718;Mg
BU03630218;NOX;1.233078;Mg
BU03630219;PM10;0.00545732;Mg
BU03630219;NOX;1.1460372;Mg
BU03630220;NOX;1.4651868;Mg
BU03630220;PM10;0.00697708;Mg
BU03630221;PM10;0.00670076;Mg
BU03630221;NOX;1.4071596;Mg
BU03630222;NOX;1.9148976;Mg
BU03630222;PM10;0.00911856;Mg
BU03630236;PM10;0.00842776;Mg
BU03630236;NOX;1.7698296;Mg
BU03630237;NOX;1.2911052;Mg
BU03630237;PM10;0.00614812;Mg
BU03630238;NOX;1.3201188;Mg
BU03630238;PM10;0.00628628;Mg
BU03630239;NOX;0.6963264;Mg
BU03630239;PM10;0.00331584;Mg
BU03630240;NOX;1.378146;Mg
BU03630240;PM10;0.0065626;Mg
BU03630241;NOX;1.2040644;Mg
BU03630241;PM10;0.00573364;Mg
BU03630242;PM10;0.00594088;Mg
BU03630242;NOX;1.2475848;Mg
BU03630243;NOX;1.4361732;Mg
BU03630243;PM10;0.00683892;Mg
BU03630375;NOX;0;Mg
BU03630375;PM10;0;Mg
BU03630376;PM10;0.00704616;Mg
BU03630376;NOX;1.4796936;Mg
BU03630377;PM10;0.00600996;Mg
BU03630377;NOX;1.2620916;Mg
BU03630378;NOX;1.0735032;Mg
BU03630378;PM10;0.00511192;Mg
BU03630379;PM10;0.0072534;Mg
BU03630379;NOX;1.523214;Mg
BU03630380;PM10;0.01429956;Mg
BU03630380;NOX;3.0029076;Mg
BU03630381;PM10;0.0058718;Mg
BU03630381;NOX;1.233078;Mg
BU03630382;PM10;0.00504284;Mg
BU03630382;NOX;1.0589964;Mg
BU03630383;NOX;0.9864624;Mg
BU03630383;PM10;0.00469744;Mg
BU03630384;NOX;1.3926528;Mg
BU03630384;PM10;0.00663168;Mg
BU03630385;NOX;1.3636392;Mg
BU03630385;PM10;0.00649352;Mg
BU03630386;PM10;0.003454;Mg
BU03630386;NOX;0.72534;Mg
BU03630387;PM10;0.0031086;Mg
BU03630387;NOX;0.652806;Mg
BU03630388;NOX;1.5522276;Mg
BU03630388;PM10;0.00739156;Mg
BU03630424;NOX;1.2185712;Mg
BU03630424;PM10;0.00580272;Mg
BU03630425;PM10;0.00600996;Mg
BU03630425;NOX;1.2620916;Mg
BU03630426;NOX;1.4216664;Mg
BU03630426;PM10;0.00676984;Mg
BU03630444;PM10;0.00676984;Mg
BU03630444;NOX;1.4216664;Mg
BU03630445;NOX;1.45068;Mg
BU03630445;PM10;0.006908;Mg
BU03630446;NOX;2.2920744;Mg
BU03630446;PM10;0.01091464;Mg
BU03630447;PM10;0.01112188;Mg
BU03630447;NOX;2.3355948;Mg
BU03630448;NOX;1.2475848;Mg
BU03630448;PM10;0.00594088;Mg
BU03630449;PM10;0.01464496;Mg
BU03630449;NOX;3.0754416;Mg
BU03630450;PM10;0.00594088;Mg
BU03630450;NOX;1.2475848;Mg
BU03630452;NOX;1.7118024;Mg
BU03630452;PM10;0.00815144;Mg
BU03630453;PM10;0.00683892;Mg
BU03630453;NOX;1.4361732;Mg
BU03630454;NOX;1.4216664;Mg
BU03630454;PM10;0.00676984;Mg
BU03630459;NOX;2.4081288;Mg
BU03630459;PM10;0.01146728;Mg
BU03630490;NOX;1.3491324;Mg
BU03630490;PM10;0.00642444;Mg
BU03630491;NOX;1.2185712;Mg
BU03630491;PM10;0.00580272;Mg
BU03630527;PM10;0.0062172;Mg
BU03630527;NOX;1.305612;Mg
BU03630528;PM10;0.00607904;Mg
BU03630528;NOX;1.2765984;Mg
BU03630529;PM10;0.00607904;Mg
BU03630529;NOX;1.2765984;Mg
BU03630530;PM10;0.00683892;Mg
BU03630530;NOX;1.4361732;Mg
BU03630531;PM10;0.00607904;Mg
BU03630531;NOX;1.2765984;Mg
BU03630532;PM10;0.00573364;Mg
BU03630532;NOX;1.2040644;Mg
BU03630533;NOX;0.507738;Mg
BU03630533;PM10;0.0024178;Mg
BU03630534;NOX;0;Mg
BU03630534;PM10;0;Mg
BU03630535;PM10;0.00013816;Mg
BU03630535;NOX;0.0290136;Mg
BU03630551;NOX;0;Mg
BU03630551;PM10;0;Mg
BU03630555;NOX;1.45068;Mg
BU03630555;PM10;0.006908;Mg
BU03630556;NOX;1.5522276;Mg
BU03630556;PM10;0.00739156;Mg
BU03630557;NOX;1.3926528;Mg
BU03630557;PM10;0.00663168;Mg
