Years,Months,Dates,Hours,NL_load_
2010,1,1,0,10752
2010,1,1,1,10172
2010,1,1,2,9581
2010,1,1,3,9206
2010,1,1,4,9139
2010,1,1,5,9318
2010,1,1,6,9610
2010,1,1,7,9891
2010,1,1,8,10251
2010,1,1,9,10912
2010,1,1,10,11450
2010,1,1,11,11681
2010,1,1,12,11708
2010,1,1,13,11653
2010,1,1,14,11598
2010,1,1,15,11951
2010,1,1,16,13422
2010,1,1,17,13841
2010,1,1,18,13744
2010,1,1,19,13483
2010,1,1,20,12968
2010,1,1,21,12239
2010,1,1,22,11335
2010,1,1,23,10383
2010,1,2,0,9644
2010,1,2,1,9307
2010,1,2,2,9168
2010,1,2,3,9183
2010,1,2,4,9310
2010,1,2,5,9769
2010,1,2,6,10555
2010,1,2,7,11595
2010,1,2,8,12777
2010,1,2,9,13533
2010,1,2,10,13830
2010,1,2,11,13878
2010,1,2,12,13733
2010,1,2,13,13604
2010,1,2,14,13464
2010,1,2,15,13998
2010,1,2,16,15116
2010,1,2,17,15027
2010,1,2,18,14663
2010,1,2,19,14043
2010,1,2,20,13181
2010,1,2,21,12484
2010,1,2,22,11615
2010,1,2,23,10731
2010,1,3,0,9838
2010,1,3,1,9280
2010,1,3,2,9072
2010,1,3,3,9082
2010,1,3,4,9137
2010,1,3,5,9386
2010,1,3,6,9798
2010,1,3,7,10456
2010,1,3,8,11176
2010,1,3,9,11864
2010,1,3,10,12305
2010,1,3,11,12533
2010,1,3,12,12440
2010,1,3,13,12308
2010,1,3,14,12210
2010,1,3,15,12606
2010,1,3,16,14437
2010,1,3,17,14757
2010,1,3,18,14646
2010,1,3,19,14185
2010,1,3,20,13419
2010,1,3,21,12511
2010,1,3,22,11311
2010,1,3,23,10347
2010,1,4,0,9758
2010,1,4,1,9577
2010,1,4,2,9562
2010,1,4,3,9670
2010,1,4,4,10102
2010,1,4,5,11542
2010,1,4,6,13992
2010,1,4,7,15634
2010,1,4,8,16135
2010,1,4,9,16348
2010,1,4,10,16526
2010,1,4,11,16385
2010,1,4,12,16494
2010,1,4,13,16397
2010,1,4,14,16302
2010,1,4,15,16553
2010,1,4,16,17353
2010,1,4,17,16780
2010,1,4,18,16508
2010,1,4,19,15699
2010,1,4,20,14806
2010,1,4,21,13568
2010,1,4,22,12361
2010,1,4,23,11102
2010,1,5,0,10343
2010,1,5,1,10035
2010,1,5,2,9946
2010,1,5,3,9972
2010,1,5,4,10392
2010,1,5,5,11729
2010,1,5,6,14151
2010,1,5,7,15853
2010,1,5,8,16339
2010,1,5,9,16498
2010,1,5,10,16516
2010,1,5,11,16271
2010,1,5,12,16339
2010,1,5,13,16077
2010,1,5,14,15984
2010,1,5,15,16220
2010,1,5,16,17258
2010,1,5,17,16717
2010,1,5,18,16289
2010,1,5,19,15486
2010,1,5,20,14633
2010,1,5,21,13506
2010,1,5,22,12358
2010,1,5,23,11129
2010,1,6,0,10355
2010,1,6,1,10066
2010,1,6,2,10000
2010,1,6,3,10046
2010,1,6,4,10444
2010,1,6,5,11833
2010,1,6,6,14439
2010,1,6,7,16125
2010,1,6,8,16590
2010,1,6,9,16694
2010,1,6,10,16673
2010,1,6,11,16388
2010,1,6,12,16425
2010,1,6,13,16309
2010,1,6,14,16245
2010,1,6,15,16472
2010,1,6,16,17518
2010,1,6,17,16848
2010,1,6,18,16338
2010,1,6,19,15556
2010,1,6,20,14699
2010,1,6,21,13602
2010,1,6,22,12534
2010,1,6,23,11311
2010,1,7,0,10543
2010,1,7,1,10183
2010,1,7,2,10111
2010,1,7,3,10169
2010,1,7,4,10518
2010,1,7,5,11926
2010,1,7,6,14433
2010,1,7,7,16148
2010,1,7,8,16629
2010,1,7,9,16638
2010,1,7,10,16703
2010,1,7,11,16460
2010,1,7,12,16401
2010,1,7,13,16281
2010,1,7,14,16187
2010,1,7,15,16399
2010,1,7,16,17487
2010,1,7,17,17143
2010,1,7,18,16722
2010,1,7,19,16049
2010,1,7,20,14983
2010,1,7,21,13791
2010,1,7,22,12751
2010,1,7,23,11579
2010,1,8,0,10789
2010,1,8,1,10459
2010,1,8,2,10366
2010,1,8,3,10431
2010,1,8,4,10784
2010,1,8,5,12095
2010,1,8,6,14578
2010,1,8,7,16264
2010,1,8,8,16825
2010,1,8,9,17007
2010,1,8,10,16985
2010,1,8,11,16643
2010,1,8,12,16562
2010,1,8,13,16384
2010,1,8,14,16028
2010,1,8,15,16037
2010,1,8,16,17184
2010,1,8,17,16833
2010,1,8,18,16275
2010,1,8,19,15482
2010,1,8,20,14524
2010,1,8,21,13610
2010,1,8,22,12732
2010,1,8,23,11620
2010,1,9,0,10833
2010,1,9,1,10339
2010,1,9,2,10138
2010,1,9,3,10045
2010,1,9,4,10100
2010,1,9,5,10532
2010,1,9,6,11455
2010,1,9,7,12684
2010,1,9,8,13771
2010,1,9,9,14483
2010,1,9,10,14727
2010,1,9,11,14751
2010,1,9,12,14576
2010,1,9,13,14385
2010,1,9,14,14223
2010,1,9,15,14516
2010,1,9,16,15672
2010,1,9,17,15562
2010,1,9,18,15085
2010,1,9,19,14302
2010,1,9,20,13450
2010,1,9,21,12814
2010,1,9,22,11988
2010,1,9,23,11026
2010,1,10,0,10296
2010,1,10,1,9808
2010,1,10,2,9609
2010,1,10,3,9519
2010,1,10,4,9537
2010,1,10,5,9721
2010,1,10,6,10223
2010,1,10,7,11060
2010,1,10,8,11858
2010,1,10,9,12603
2010,1,10,10,13047
2010,1,10,11,13301
2010,1,10,12,13250
2010,1,10,13,13025
2010,1,10,14,12808
2010,1,10,15,13132
2010,1,10,16,14813
2010,1,10,17,15036
2010,1,10,18,14859
2010,1,10,19,14348
2010,1,10,20,13571
2010,1,10,21,12676
2010,1,10,22,11542
2010,1,10,23,10533
2010,1,11,0,9961
2010,1,11,1,9680
2010,1,11,2,9675
2010,1,11,3,9776
2010,1,11,4,10250
2010,1,11,5,11749
2010,1,11,6,14255
2010,1,11,7,15957
2010,1,11,8,16349
2010,1,11,9,16511
2010,1,11,10,16628
2010,1,11,11,16483
2010,1,11,12,16560
2010,1,11,13,16391
2010,1,11,14,16229
2010,1,11,15,16365
2010,1,11,16,17304
2010,1,11,17,16780
2010,1,11,18,16340
2010,1,11,19,15461
2010,1,11,20,14629
2010,1,11,21,13478
2010,1,11,22,12325
2010,1,11,23,11078
2010,1,12,0,10312
2010,1,12,1,10017
2010,1,12,2,9917
2010,1,12,3,10021
2010,1,12,4,10432
2010,1,12,5,11899
2010,1,12,6,14473
2010,1,12,7,16130
2010,1,12,8,16577
2010,1,12,9,16646
2010,1,12,10,16739
2010,1,12,11,16516
2010,1,12,12,16483
2010,1,12,13,16424
2010,1,12,14,16298
2010,1,12,15,16446
2010,1,12,16,17396
2010,1,12,17,16934
2010,1,12,18,16474
2010,1,12,19,15699
2010,1,12,20,14765
2010,1,12,21,13578
2010,1,12,22,12513
2010,1,12,23,11371
2010,1,13,0,10612
2010,1,13,1,10235
2010,1,13,2,10148
2010,1,13,3,10207
2010,1,13,4,10616
2010,1,13,5,12043
2010,1,13,6,14634
2010,1,13,7,16362
2010,1,13,8,16883
2010,1,13,9,16957
2010,1,13,10,16935
2010,1,13,11,16766
2010,1,13,12,16871
2010,1,13,13,16722
2010,1,13,14,16440
2010,1,13,15,16595
2010,1,13,16,17745
2010,1,13,17,17123
2010,1,13,18,16615
2010,1,13,19,15753
2010,1,13,20,14826
2010,1,13,21,13645
2010,1,13,22,12600
2010,1,13,23,11383
2010,1,14,0,10540
2010,1,14,1,10148
2010,1,14,2,10061
2010,1,14,3,10116
2010,1,14,4,10504
2010,1,14,5,11937
2010,1,14,6,14309
2010,1,14,7,16053
2010,1,14,8,16590
2010,1,14,9,16653
2010,1,14,10,16587
2010,1,14,11,16227
2010,1,14,12,16222
2010,1,14,13,16065
2010,1,14,14,15943
2010,1,14,15,15983
2010,1,14,16,16939
2010,1,14,17,16754
2010,1,14,18,16389
2010,1,14,19,15638
2010,1,14,20,14588
2010,1,14,21,13424
2010,1,14,22,12345
2010,1,14,23,11156
2010,1,15,0,10399
2010,1,15,1,10035
2010,1,15,2,9937
2010,1,15,3,9964
2010,1,15,4,10342
2010,1,15,5,11722
2010,1,15,6,14172
2010,1,15,7,15949
2010,1,15,8,16489
2010,1,15,9,16666
2010,1,15,10,16680
2010,1,15,11,16443
2010,1,15,12,16459
2010,1,15,13,16245
2010,1,15,14,16066
2010,1,15,15,16029
2010,1,15,16,16873
2010,1,15,17,16475
2010,1,15,18,15919
2010,1,15,19,15047
2010,1,15,20,14030
2010,1,15,21,12995
2010,1,15,22,12143
2010,1,15,23,11094
2010,1,16,0,10242
2010,1,16,1,9785
2010,1,16,2,9579
2010,1,16,3,9532
2010,1,16,4,9631
2010,1,16,5,10092
2010,1,16,6,11074
2010,1,16,7,12331
2010,1,16,8,13576
2010,1,16,9,14227
2010,1,16,10,14412
2010,1,16,11,14334
2010,1,16,12,14152
2010,1,16,13,13887
2010,1,16,14,13736
2010,1,16,15,14147
2010,1,16,16,15293
2010,1,16,17,15175
2010,1,16,18,14768
2010,1,16,19,14046
2010,1,16,20,13251
2010,1,16,21,12576
2010,1,16,22,11700
2010,1,16,23,10794
2010,1,17,0,10013
2010,1,17,1,9539
2010,1,17,2,9288
2010,1,17,3,9226
2010,1,17,4,9252
2010,1,17,5,9425
2010,1,17,6,9915
2010,1,17,7,10683
2010,1,17,8,11520
2010,1,17,9,12245
2010,1,17,10,12653
2010,1,17,11,12830
2010,1,17,12,12704
2010,1,17,13,12370
2010,1,17,14,12138
2010,1,17,15,12277
2010,1,17,16,13944
2010,1,17,17,14518
2010,1,17,18,14328
2010,1,17,19,13841
2010,1,17,20,13077
2010,1,17,21,12241
2010,1,17,22,11196
2010,1,17,23,10239
2010,1,18,0,9638
2010,1,18,1,9392
2010,1,18,2,9242
2010,1,18,3,9313
2010,1,18,4,9848
2010,1,18,5,11439
2010,1,18,6,14092
2010,1,18,7,15700
2010,1,18,8,16156
2010,1,18,9,16332
2010,1,18,10,16523
2010,1,18,11,16409
2010,1,18,12,16595
2010,1,18,13,16440
2010,1,18,14,16284
2010,1,18,15,16350
2010,1,18,16,17102
2010,1,18,17,16523
2010,1,18,18,16139
2010,1,18,19,15260
2010,1,18,20,14304
2010,1,18,21,13064
2010,1,18,22,11914
2010,1,18,23,10774
2010,1,19,0,10037
2010,1,19,1,9681
2010,1,19,2,9574
2010,1,19,3,9635
2010,1,19,4,10019
2010,1,19,5,11513
