Years,Months,Dates,Hours,TotalHeating
2014,5,20,16,173.1
2014,5,20,17,172.2
2014,5,20,18,172.4
2014,5,20,19,181.8
2014,5,20,20,184.3
2014,5,20,21,177.4
2014,5,20,22,189.9
2014,5,20,23,182.1
2014,5,21,0,174.6
2014,5,21,1,165.9
2014,5,21,2,165.4
2014,5,21,3,167.7
2014,5,21,4,166.9
2014,5,21,5,168.9
2014,5,21,6,181.5
2014,5,21,7,200.7
2014,5,21,8,205.2
2014,5,21,9,188.3
2014,5,21,10,184.8
2014,5,21,11,172.4
2014,5,21,12,168.4
2014,5,21,13,156
2014,5,21,14,170.9
2014,5,21,15,154.5
2014,5,21,16,143
2014,5,21,17,165.2
2014,5,21,18,143.8
2014,5,21,19,179.7
2014,5,21,20,159.8
2014,5,21,21,160.1
2014,5,21,22,163.1
2014,5,21,23,162.1
2014,5,22,0,154.7
2014,5,22,1,148.7
2014,5,22,2,147
2014,5,22,3,146.3
2014,5,22,4,148.1
2014,5,22,5,150.3
2014,5,22,6,155.5
2014,5,22,7,181.3
2014,5,22,8,186.4
2014,5,22,9,172.2
2014,5,22,10,162.1
2014,5,22,11,159
2014,5,22,12,152.7
2014,5,22,13,158.4
2014,5,22,14,132.3
2014,5,22,15,138.4
2014,5,22,16,141
2014,5,22,17,143.3
2014,5,22,18,144.7
2014,5,22,19,150.6
2014,5,22,20,145.7
2014,5,22,21,161.2
2014,5,22,22,150.9
2014,5,22,23,146.3
2014,5,23,0,142.9
2014,5,23,1,142
2014,5,23,2,134.1
2014,5,23,3,127.5
2014,5,23,4,132.1
2014,5,23,5,125.1
2014,5,23,6,144.5
2014,5,23,7,159.2
2014,5,23,8,190.4
2014,5,23,9,163.1
2014,5,23,10,163.9
2014,5,23,11,171.9
2014,5,23,12,146
2014,5,23,13,165.8
2014,5,23,14,150.8
2014,5,23,15,148
2014,5,23,16,148.5
2014,5,23,17,147.8
2014,5,23,18,156.9
2014,5,23,19,173.5
2014,5,23,20,141.2
2014,5,23,21,173.6
2014,5,23,22,159.4
2014,5,23,23,155.5
2014,5,24,0,155.1
2014,5,24,1,150.8
2014,5,24,2,149.5
2014,5,24,3,150.4
2014,5,24,4,152.1
2014,5,24,5,156
2014,5,24,6,156.7
2014,5,24,7,162.4
2014,5,24,8,161.2
2014,5,24,9,192.4
2014,5,24,10,186.4
2014,5,24,11,181.5
2014,5,24,12,180.5
2014,5,24,13,168.4
2014,5,24,14,159.7
2014,5,24,15,152.8
2014,5,24,16,152.9
2014,5,24,17,152.3
2014,5,24,18,154.3
2014,5,24,19,159.6
2014,5,24,20,153.9
2014,5,24,21,149.4
2014,5,24,22,141.9
2014,5,24,23,164.7
2014,5,25,0,152.8
2014,5,25,1,139.5
2014,5,25,2,134.1
2014,5,25,3,173.5
2014,5,25,4,151.9
2014,5,25,5,149.2
2014,5,25,6,156.1
2014,5,25,7,154.6
2014,5,25,8,162.2
2014,5,25,9,168.9
2014,5,25,10,164.3
