id,bu_code,bu_naam,adam_total_household,area_ha,ElecConFeb11_11am_168440kwh,GasConFeb15_12am_110083kwh,PM10Feb11_10am_0.0001019991Mg,NOXConFeb11_10am_0.021419819Mg,ElecConFeb11_11am_187141kwh
1,BU03630000,Burgwallen-Oude Zijde,3004,40.6622527267,28.2559149002,18.4664918069,1.71104125474806E-08,3.5931880273011E-06,31.3930192967
2,BU03630001,Burgwallen-Nieuwe Zijde,3082,75.482228532,15.6166832431,10.206194143,9.45670645795772E-09,1.98590912569422E-06,17.3505207717
3,BU03630002,Grachtengordel-West,4565,63.8327855423,27.3525528665,17.8761047091,1.65633802843158E-08,3.47831120752268E-06,30.3893617668
4,BU03630003,Grachtengordel-Zuid,2805,52.0622444904,20.6068143801,13.4674658478,1.24784880113991E-08,2.62048349780915E-06,22.8946797074
5,BU03630004,Nieuwmarkt/Lastage,6230,108.4814078228,21.965121752,14.3551798731,1.33010131209724E-08,2.7932138377511E-06,24.403792744
6,BU03630005,Haarlemmerbuurt,5650,81.5525188267,26.4979300629,17.3175708568,0.000000016,3.36963235437922E-06,29.4398547251
7,BU03630006,Jordaan,12970,95.850871426,51.7541036589,33.8235988666,3.13397767425414E-08,6.58135566615371E-06,57.5000873476
8,BU03630007,De Weteringschans,4650,65.3963628075,27.19569984,17.7735943095,1.64683976938452E-08,3.45836485579481E-06,30.2150941805
9,BU03630008,Weesperbuurt/Plantage,4715,85.6824533539,21.0470234405,13.7551619651,1.27450572821986E-08,2.67646306636867E-06,23.3837628454
10,BU03630009,Oostelijke Eilanden/Kadijken,7675,135.3760258915,21.6839054163,14.171392543,1.31307221381103E-08,2.75745271749293E-06,24.0913544497
11,BU03630110,Westelijk Havengebied,190,2846.618271085,0.0255284972,0.0166840035,1.54588205657688E-11,3.24635357674617E-09,0.0283627908
12,BU03630111,Bedrijventerrein Sloterdijk,100,681.8173669247,0.0560961198,0.0366612987,3.39690912511055E-11,7.13351192690809E-09,0.0623241745
13,BU03630212,Houthavens,1155,89.5231588081,4.9345490163,3.2249463273,0.000000003,6.27506223323339E-07,5.4824058268
14,BU03630213,Spaarndammer- en Zeeheldenbuurt,6275,140.1743909744,17.1216625439,11.1897647698,1.03680489787695E-08,2.17729112922361E-06,19.0225899438
15,BU03630214,Staatsliedenbuurt,7825,53.9271440144,55.4980605551,36.2704405135,3.36069355756993E-08,7.05745920560299E-06,61.6597159247
16,BU03630215,Centrale Markt,1265,57.7146433479,8.3831143487,5.4787365047,5.07640773430126E-09,0.000001066,9.3138470811
17,BU03630216,Frederik Hendrikbuurt,5060,40.013306123,48.3667561279,31.6098172336,2.92885632567422E-08,6.15060066722193E-06,53.7366605826
18,BU03630217,Da Costabuurt,2960,26.006223061,43.5326704006,28.4505281151,2.6361275240165E-08,5.53586994553774E-06,48.365871951
19,BU03630218,Kinkerbuurt,3625,26.9991170765,51.3522325808,33.5609583186,3.10964230956541E-08,6.53025138050491E-06,57.0535986547
