id,bu_code,bu_naam,adam_total_household,area_ha,hh_per_ha,Feb 11 01:00,Feb 11 02:00,Feb 11 03:00,Feb 11 04:00,Feb 11 05:00,Feb 11 06:00,Feb 11 07:00,Feb 11 08:00,Feb 11 09:00,Feb 11 10:00,Feb 11 11:00,Feb 11 12:00,Feb 11 13:00,Feb 11 14:00,Feb 11 15:00,Feb 11 16:00,Feb 11 17:00,Feb 11 18:00,Feb 11 19:00,Feb 11 20:00,Feb 11 21:00,Feb 11 22:00,Feb 11 23:00,Feb 11 00:00,Feb 15 01:00,Feb 15 02:00,Feb 15 03:00,Feb 15 04:00,Feb 15 05:00,Feb 15 06:00,Feb 15 07:00,Feb 15 08:00,Feb 15 09:00,Feb 15 10:00,Feb 15 11:00,Feb 15 12:00,Feb 15 13:00,Feb 15 14:00,Feb 15 15:00,Feb 15 16:00,Feb 15 17:00,Feb 15 18:00,Feb 15 19:00,Feb 15 20:00,Feb 15 21:00,Feb 15 22:00,Feb 15 23:00,Feb 15 00:00,Aug 1201:00, Aug 12 02:00, Aug 12 03:00, Aug 12 04:00, Aug 12 05:00, Aug 12 06:00, Aug 12 07:00, Aug 12 08:00, Aug 12 09:00, Aug 12 10:00, Aug 12 11:00, Aug 12 12:00, Aug 12 13:00, Aug 12 14:00, Aug 12 15:00, Aug 12 16:00, Aug 12 17:00, Aug 12 18:00, Aug 12 19:00, Aug 12 20:00, Aug 12 21:00, Aug 12 22:00, Aug 12 23:00, Aug 12 00:00, Aug 16 01:00, Aug 16 02:00, Aug 16 03:00, Aug 16 04:00, Aug 16 05:00, Aug 16 06:00, Aug 16 07:00, Aug 16 08:00, Aug 16 09:00, Aug 16 10:00, Aug 16 11:00, Aug 16 12:00, Aug 16 13:00, Aug 16 14:00, Aug 16 15:00, Aug 16 16:00, Aug 16 17:00, Aug 16 18:00, Aug 16 19:00, Aug 16 20:00, Aug 16 21:00, Aug 16 22:00, Aug 16 23:00, Aug 16 00:00
1,BU03630000,Burgwallen-Oude Zijde,3004,40.6622527267,73.8768710182,21.0473667193,20.5329707912,20.452829398,20.486376959,21.0939605515,23.4814286136,27.740105044,30.0697967461,31.126544903,31.3539228115,31.3930616327,31.0464035097,31.0333572384,30.8712106936,30.6233314953,30.6084214731,31.2178688166,31.2905551988,30.3773160553,28.9440897162,27.2275728669,25.2352205258,23.5187036765,22.0482022745,19.7483306242,19.1370195224,18.9226878851,18.8201814512,18.9245516434,19.4464025826,20.3260941724,21.2821996463,22.5271868906,23.1440892526,23.3546933807,23.3956959602,22.942803894,22.4265442076,22.4079066762,23.0620841084,24.6537294757,26.5808504531,26.50630032,25.7719814945,24.5083567114,23.1981381034,21.5859914463,20.4155543277,19.4426750733,19.2134334138,19.1612483214,19.6905542716,20.8982664531,22.9278938644,25.181171675,26.3497450353,26.8361846625,26.9629198954,26.6591280955,26.7560432692,26.6964031657,26.4447964582,26.4131126481,26.5473028921,25.4383696428,24.655593234,24.0368271137,24.2399762307,23.63612014,22.4638192779,21.0138191583,19.869474597,18.3169680434,18.0075849907,17.8156183941,17.7857983349,17.5751942068,17.9032147984,18.9506441859,20.0707599556,20.9411327761,21.448073693,21.7742305337,21.6251302601,21.4387549236,21.203922004,21.3082921888,22.167482489,22.4451817464,22.2308501091,22.2289863508,22.6147833024,21.9811071525,20.6392047344,19.5172252138,18.7064924969
2,BU03630001,Burgwallen-Nieuwe Zijde,3082,75.482228532,40.8308029577,11.6326107407,11.3483106818,11.3040175574,11.3225588659,11.6583625566,12.9778856586,15.3316017241,16.6191925699,17.2032437781,17.3289126438,17.3505441703,17.1589506537,17.1517401462,17.062123822,16.9251241554,16.9168835765,17.2537173386,17.2938901736,16.7891545641,15.9970286736,15.0483317366,13.9471840467,12.9984871097,12.1857597681,10.914650084,10.5767862465,10.4583278883,10.4016738916,10.4593579637,10.747778312,11.2339726171,11.7623998999,12.4504884471,12.7914425027,12.9078407142,12.9305023161,12.6801946561,12.3948645218,12.3845637962,12.746119307,13.6258013709,14.6908965193,14.649693613,14.2438449779,13.5454557009,12.8213146121,11.9303017473,11.2834161022,10.7457181652,10.6190192282,10.5901771942,10.8827178319,11.550204928,12.6719540732,13.9173119372,14.5631675069,14.8320164754,14.9020614198,14.7341595724,14.787723351,14.7547610276,14.6157012142,14.5981899771,14.6723552109,14.0594619687,13.6268314463,13.2848473153,13.3971252374,13.0633816893,12.415465977,11.6140694322,10.9816048103,10.1235542688,9.9525622074,9.8464647215,9.8299835557,9.7135853443,9.8948781353,10.4737789786,11.0928526569,11.5738965972,11.8540763667,12.0343390864,11.9519332697,11.8489260019,11.7191368468,11.7768209148,12.251684419,12.4051652514,12.2867068932,12.2856768178,12.498901865,12.1486771511,11.4070248252,10.7869210756,10.3388394587
3,BU03630002,Grachtengordel-West,4565,63.8327855423,71.514974025,20.3744671841,19.8765168659,19.7989376509,19.8314126721,20.4195713778,22.7307103594,26.8532338245,29.108443598,30.1314067521,30.3515152245,30.3894027493,30.0538275371,30.0411983646,29.8842357621,29.644281441,29.629848103,30.2198109742,30.2901735201,29.4061312925,28.018726236,26.3570876717,24.4284322758,22.7667937115,21.3433053028,19.1169622124,18.5251951686,18.3177158688,18.2184866397,18.3195200414,18.8246870286,19.6762542422,20.6017923326,21.8069764344,22.4041559817,22.6080269435,22.6477186409,22.2093058615,21.7095513707,21.6915096946,22.3247726013,23.8655319151,25.7310414412,25.6588747298,24.9480326082,23.7248068232,22.4564768516,20.8958716891,19.7628542916,18.8210786905,18.5991660527,18.5486493554,19.0610330116,20.2301337612,22.1948725164,24.3761114059,25.5073246308,25.9782124313,26.1008958472,25.8068164907,25.9006332163,25.84289985,25.5993371909,25.5686663351,25.69856642,24.6250865686,23.8673360878,23.2683523678,23.4650066606,22.8804562858,21.74563473,20.3419921629,19.2342331248,17.7313613285,17.4318694757,17.24604019,17.2171734997,17.0133025379,17.330836074,18.3447783865,19.4290832449,20.2716296169,20.7623632661,21.0780926367,20.9337592067,20.7533424245,20.5260172831,20.6270506777,21.4587720426,21.7275930539,21.5201137541,21.5183095815,21.8917723255,21.2783552604,19.9793544331,18.8932454091,18.1084324035
4,BU03630003,Grachtengordel-Zuid,2805,52.0622444904,53.8778154391,15.3496774288,14.9745325629,14.9160860811,14.940552051,15.3836579407,17.1248194415,20.2306383476,21.9296640078,22.7003420479,22.8661669512,22.8947105827,22.6418955661,22.6323810241,22.5141288364,22.3333525052,22.3224787444,22.7669438529,22.8199534543,22.1539353982,21.1086948092,19.8568527004,18.4038459577,17.1520038489,16.0795788525,14.4023007193,13.9564763866,13.8001660254,13.725408897,13.8015252495,14.1821069958,14.8236590874,15.5209392179,16.4288985298,16.8788005241,17.0323924424,17.0622952981,16.7320047102,16.3555006202,16.3419084165,16.8189948235,17.979769152,19.3852031792,19.330834359,18.7953014702,17.8737499492,16.9182179218,15.7424921655,14.8889016684,14.1793885529,14.0122044309,13.9741462573,14.3601648841,15.2409397886,16.7211309441,18.36442856,19.216659833,19.5714163907,19.6638433897,19.4422904422,19.5129699089,19.4694748549,19.2859800809,19.2628733298,19.3607372093,18.5520009956,17.9811283761,17.5298671577,17.6780221957,17.2376347434,16.3826850329,15.325211459,14.4906500567,13.3584193544,13.1327887505,12.9927890359,12.9710415035,12.8174495851,13.056672398,13.8205543336,14.6374458705,15.2722018576,15.6419098431,15.8797734373,15.7710357916,15.6351137386,15.4638519549,15.539968302,16.1665689658,16.3690928293,16.212782468,16.2114232439,16.4927818973,16.0306469127,15.0520081341,14.2337573785,13.6424964454
5,BU03630004,Nieuwmarkt/Lastage,6230,108.4814078228,57.4291957031,16.361458271,15.9615855637,15.899286556,15.9253652112,16.3976786235,18.2536095621,21.5641499083,23.3751676036,24.1966452309,24.3734005567,24.4038256544,24.1343462231,24.1242045258,23.9981576923,23.8054654086,23.793874899,24.2676371236,24.3241408766,23.6142219429,22.5000838537,21.1657260133,19.6169436823,18.2825858419,17.1394714729,15.3516348026,14.8764237599,14.7098101314,14.6301253536,14.7112589494,15.1169269115,15.8007671957,16.5440088574,17.5118167127,17.9913741979,18.1550901961,18.1869641119,17.8349022724,17.4335807471,17.4190926073,17.9276263779,19.1649136646,20.6629875032,20.605034938,20.0342021597,19.0519061587,18.033389811,16.7801655664,15.8703102705,15.1140292812,14.9358251431,14.8952583481,15.306721565,16.2455531406,17.8233117571,19.5749280692,20.4833345471,20.8614750417,20.9599944077,20.7238376987,20.799176034,20.7528139841,20.5572240702,20.5325942272,20.636908848,19.7748644257,19.1663624826,18.6853561794,18.8432769229,18.3738611351,17.4625570326,16.3353796158,15.445807726,14.2389455313,13.9984423855,13.8492145271,13.8260334964,13.6623174982,13.9173087896,14.7315423441,15.6022796515,16.2788758629,16.6729533154,16.9264957945,16.8105906584,16.6657092426,16.4831586619,16.564292252,17.2321955784,17.4480688928,17.2814552642,17.2800064462,17.579910981,17.0873141625,16.0441679718,15.1719818522,14.5417476906
6,BU03630005,Haarlemmerbuurt,5650,81.5525188267,69.2805088216,19.7378727005,19.2554806996,19.1803254253,19.2117857736,19.7815676264,22.020495722,26.0142121035,28.1989584835,29.1899594422,29.4031906874,29.4398944271,29.1148041679,29.1025695903,28.95051124,28.7180542241,28.7040718517,29.2756014992,29.3437655873,28.4873450099,27.1432890332,25.5335678975,23.6651727957,22.05545166,20.6764397453,18.5196581172,17.9463806678,17.7453840002,17.6492551604,17.747131802,18.2365149891,19.0614752251,19.9580951388,21.1256236031,21.7041444438,21.9016455148,21.9400970563,21.5153823607,21.0312425581,21.0137645891,21.6272413747,23.1198600981,24.927082305,24.8571704221,24.1685383622,22.983531922,21.7548305629,20.2429860687,19.1453694804,18.2330193925,18.0180403525,17.9691020351,18.4654764085,19.5980489347,21.5013999814,23.6144866766,24.7103554632,25.1665305071,25.2853807143,25.0004897844,25.0913752329,25.0354457293,24.7994931168,24.7697805633,24.8956219566,23.8556826806,23.1216078999,22.5413392574,22.7318491423,22.1655628791,21.066198503,19.7064123521,18.6332649329,17.1773499423,16.887215628,16.7071925259,16.6792277672,16.4817266962,16.7893389864,17.7716009572,18.822027016,19.6382482641,20.1136490788,20.4195135742,20.2796898015,20.1049100908,19.8846876594,19.982564294,20.7882987593,21.048720534,20.8477238664,20.8459760646,21.2077700705,20.6135190487,19.355105136,18.3029312823,17.5426395378
7,BU03630006,Jordaan,12970,95.850871426,135.3143670688,38.5507814128,37.6086034555,37.4618148631,37.5232612525,38.6361236158,43.009058274,50.8093359222,55.0764462341,57.0120074732,57.4284774367,57.500164891,56.8652188808,56.8413230672,56.5443321851,56.0903116457,56.0630021483,57.1792781954,57.3124120391,55.6397048036,53.0145785325,49.8705716488,46.2213389147,43.077332031,40.3839320028,36.1714406993,35.0517509549,34.6591768049,34.4714239529,34.6625905022,35.6184232082,37.2296840677,38.9809061386,41.2612498869,42.3911806962,42.7769274651,42.8520286167,42.0225023733,41.0769107187,41.0427738402,42.24097842,45.1562681786,48.6860218312,48.5494743037,47.2044811315,44.8900004912,42.4901776614,39.537337327,37.3935410926,35.6115958271,35.1917121797,35.0961289118,36.0656163665,38.2776863578,41.9951928624,46.1223419495,48.2627244865,49.1536971193,49.3858279282,48.8293967398,49.0069085269,48.8976705103,48.4368225898,48.3787898842,48.6245754418,46.5934309349,45.1596818759,44.0263373693,44.3984293895,43.2923943939,41.1451844892,38.4893350234,36.3933304433,33.5497281254,32.9830558857,32.6314459953,32.5768269735,32.1910802046,32.7918893364,34.7103821294,36.7620087661,38.3562011797,39.2847243883,39.8821198363,39.6090247678,39.2676559423,38.83753123,39.0286977658,40.6024080495,41.1110476107,40.7184734607,40.7150597634,41.4216932415,40.261039224,37.8031836886,35.7481433681,34.2631889711
8,BU03630007,De Weteringschans,4650,65.3963628075,71.1048718977,20.257629942,19.7625351164,19.6854007789,19.7176895724,20.302475486,22.6003612569,26.6992441395,28.9415214281,29.9586184071,30.1774646689,30.2151349279,29.8814840696,29.8689273189,29.7128648173,29.4742865127,29.4599359426,30.0465156757,30.1164747282,29.2375020346,27.8580530428,26.2059431335,24.2883475987,22.6362376894,21.2209122652,19.0073361239,18.4189625642,18.2126730529,18.1140128532,18.2144668795,18.7167369901,19.5634208974,20.483651496,21.6819244778,22.2756795031,22.4783813683,22.5178454539,22.0819467496,21.5850580975,21.5671198813,22.1967513461,23.7286751863,25.5834869608,25.5117340889,24.8049682865,23.5887570814,22.3277003394,20.7760444564,19.6495243394,18.7131493441,18.4925092627,18.4422822531,18.9517276487,20.1141241981,22.0675961724,24.2363267625,25.3610530529,25.8292405505,25.9512204392,25.6588274788,25.752106213,25.6947039183,25.4525379676,25.4220429936,25.5511981674,24.4838741788,23.7304690129,23.134920161,23.3304467411,22.7492484664,21.620934537,20.2253411485,19.123934547,17.6296809588,17.3319065399,17.147142891,17.1184417365,16.9157398714,17.2314525135,18.2395803808,19.3176673005,20.1553820961,20.6433016366,20.9572204593,20.8137147083,20.6343325249,20.408310978,20.5087649973,21.3357168617,21.6029963208,21.3967068096,21.394912983,21.7662341075,21.1563346783,19.8647829623,18.7849022231,18.0045897222
9,BU03630008,Weesperbuurt/Plantage,4715,85.6824533539,55.0287697824,15.6775819246,15.2944230995,15.2347280661,15.2597166855,15.7122883386,17.4906450629,20.6628114207,22.3981321858,23.1852736855,23.354640991,23.3837943803,23.1255786521,23.1158608575,22.9950825305,22.8104444002,22.7993383508,23.2532982587,23.3074402673,22.6271945302,21.5596251926,20.2810408504,18.796994534,17.5184101919,16.4230757253,14.7099670645,14.2546188963,14.0949693854,14.0186152725,14.0963576457,14.4850694955,15.1403266188,15.8525022603,16.7798576762,17.2393706143,17.3962436101,17.4267852597,17.0894389034,16.704891818,16.6910092536,17.1782873261,18.3638584702,19.7993158081,19.7437855446,19.1968124387,18.2555744528,17.2796300584,16.0787880896,15.2069629316,14.4822929804,14.3115374201,14.2726662362,14.6669311107,15.5665213976,17.0783328485,18.7567350899,19.6271719875,19.9895069631,20.083908416,19.8576225867,19.9298119297,19.8853877212,19.6979730758,19.6743727112,19.7743271887,18.9483145052,18.3652467305,17.9043455321,18.0556655032,17.6058703598,16.7326569525,15.6525933052,14.8002037475,13.6437859872,13.4133353935,13.2703449622,13.2481328524,13.0912598566,13.3355930202,14.1157932349,14.9501354583,15.5984512965,15.9760570969,16.2190020058,16.1079414734,15.9691158119,15.7941954817,15.8719378495,16.5119241479,16.718774388,16.5591248771,16.5577366168,16.8451057398,16.3730984865,15.3735537276,14.5378232494,13.9339316197
10,BU03630009,Oostelijke Eilanden/Kadijken,7675,135.3760258915,56.6939378628,16.1519848433,15.7572316495,15.6957302472,15.721475021,16.1877414718,18.0199111901,21.2880671582,23.075898651,23.8868590168,24.0613513693,24.0913869388,23.8253576144,23.8153457598,23.690912686,23.5006874143,23.4892452963,23.9569420104,24.0127223538,23.3118924115,22.2120184741,20.8947442277,19.365790737,18.0485164906,16.9200372527,15.1550900014,14.6859630183,14.5214825204,14.4428179355,14.5229127894,14.9233870422,15.5984722163,16.3321982605,17.2876154092,17.761033188,17.9226531535,17.9541189921,17.6065645504,17.2103810876,17.1960784373,17.6981015223,18.9195479954,20.3984422074,20.3412316007,19.7777071134,18.8079873086,17.8025108811,16.5653314887,15.667124941,14.9205265099,14.744603894,14.7045564699,15.1107517816,16.0375636299,17.5951224268,19.3243130439,20.2210893226,20.5943885381,20.6916465747,20.4585133464,20.5328871358,20.4871186526,20.2940328486,20.269718338,20.3726974335,19.5216896436,18.9209782644,18.4461302167,18.6020291233,18.1386231992,17.2389863938,16.1262400694,15.2480572423,14.056646333,13.8192223148,13.6719049995,13.6490207522,13.4874007867,13.7391274608,14.5429364987,15.4025258799,16.070459726,16.4594918608,16.7097882717,16.5953670525,16.4523405329,16.2721271214,16.3522219697,17.0115742245,17.2246837435,17.0602032457,17.0587729767,17.3548378762,16.8685477049,15.8387567668,14.9777371222,14.3555717592
