id,bu_code,bu_naam,adam_total_household,area_ha,hh_per_ha,Feb 11 01:00,Feb 11 02:00,Feb 11 03:00,Feb 11 04:00,Feb 11 05:00,Feb 11 06:00,Feb 11 07:00,Feb 11 08:00,Feb 11 09:00,Feb 11 10:00,Feb 11 11:00,Feb 11 12:00,Feb 11 13:00,Feb 11 14:00,Feb 11 15:00,Feb 11 16:00,Feb 11 17:00,Feb 11 18:00,Feb 11 19:00,Feb 11 20:00,Feb 11 21:00,Feb 11 22:00,Feb 11 23:00,Feb 11 00:00,Feb 15 01:00,Feb 15 02:00,Feb 15 03:00,Feb 15 04:00,Feb 15 05:00,Feb 15 06:00,Feb 15 07:00,Feb 15 08:00,Feb 15 09:00,Feb 15 10:00,Feb 15 11:00,Feb 15 12:00,Feb 15 13:00,Feb 15 14:00,Feb 15 15:00,Feb 15 16:00,Feb 15 17:00,Feb 15 18:00,Feb 15 19:00,Feb 15 20:00,Feb 15 21:00,Feb 15 22:00,Feb 15 23:00,Feb 15 00:00,Aug 1201:00, Aug 12 02:00, Aug 12 03:00, Aug 12 04:00, Aug 12 05:00, Aug 12 06:00, Aug 12 07:00, Aug 12 08:00, Aug 12 09:00, Aug 12 10:00, Aug 12 11:00, Aug 12 12:00, Aug 12 13:00, Aug 12 14:00, Aug 12 15:00, Aug 12 16:00, Aug 12 17:00, Aug 12 18:00, Aug 12 19:00, Aug 12 20:00, Aug 12 21:00, Aug 12 22:00, Aug 12 23:00, Aug 12 00:00, Aug 16 01:00, Aug 16 02:00, Aug 16 03:00, Aug 16 04:00, Aug 16 05:00, Aug 16 06:00, Aug 16 07:00, Aug 16 08:00, Aug 16 09:00, Aug 16 10:00, Aug 16 11:00, Aug 16 12:00, Aug 16 13:00, Aug 16 14:00, Aug 16 15:00, Aug 16 16:00, Aug 16 17:00, Aug 16 18:00, Aug 16 19:00, Aug 16 20:00, Aug 16 21:00, Aug 16 22:00, Aug 16 23:00, Aug 16 00:00,Feb 11 01:00,Feb 11 02:00,Feb 11 03:00,Feb 11 04:00,Feb 11 05:00,Feb 11 06:00,Feb 11 07:00,Feb 11 08:00,Feb 11 09:00,Feb 11 10:00,Feb 11 11:00,Feb 11 12:00,Feb 11 13:00,Feb 11 14:00,Feb 11 15:00,Feb 11 16:00,Feb 11 17:00,Feb 11 18:00,Feb 11 19:00,Feb 11 20:00,Feb 11 21:00,Feb 11 22:00,Feb 11 23:00,Feb 11 00:00,Feb 15 01:00,Feb 15 02:00,Feb 15 03:00,Feb 15 04:00,Feb 15 05:00,Feb 15 06:00,Feb 15 07:00,Feb 15 08:00,Feb 15 09:00,Feb 15 10:00,Feb 15 11:00,Feb 15 12:00,Feb 15 13:00,Feb 15 14:00,Feb 15 15:00,Feb 15 16:00,Feb 15 17:00,Feb 15 18:00,Feb 15 19:00,Feb 15 20:00,Feb 15 21:00,Feb 15 22:00,Feb 15 23:00,Feb 15 00:00,Aug 1201:00, Aug 12 02:00, Aug 12 03:00, Aug 12 04:00, Aug 12 05:00, Aug 12 06:00, Aug 12 07:00, Aug 12 08:00, Aug 12 09:00, Aug 12 10:00, Aug 12 11:00, Aug 12 12:00, Aug 12 13:00, Aug 12 14:00, Aug 12 15:00, Aug 12 16:00, Aug 12 17:00, Aug 12 18:00, Aug 12 19:00, Aug 12 20:00, Aug 12 21:00, Aug 12 22:00, Aug 12 23:00, Aug 12 00:00, Aug 16 01:00, Aug 16 02:00, Aug 16 03:00, Aug 16 04:00, Aug 16 05:00, Aug 16 06:00, Aug 16 07:00, Aug 16 08:00, Aug 16 09:00, Aug 16 10:00, Aug 16 11:00, Aug 16 12:00, Aug 16 13:00, Aug 16 14:00, Aug 16 15:00, Aug 16 16:00, Aug 16 17:00, Aug 16 18:00, Aug 16 19:00, Aug 16 20:00, Aug 16 21:00, Aug 16 22:00, Aug 16 23:00, Aug 16 00:00
1,BU03630000,Burgwallen-Oude Zijde,3004,40.6622527267,73.8768710182,12.508146748,12.5555683558,12.7145702208,12.9628362901,13.350577681,13.8052672305,14.6532771749,15.7718692489,16.2293483005,16.2795594103,15.9364501253,15.5180241608,15.0800716602,15.1191247472,14.9350173199,14.7564889113,14.5640129706,14.6086450765,14.6198030992,14.5891185255,14.287851837,13.788530189,13.3756832433,13.2668924881,15.7411846752,15.626814916,15.5961303423,15.7997643132,15.9057655516,16.151242119,16.5027199247,16.7900390885,17.2782027064,17.8751570794,18.391215769,18.4665324411,18.2545299495,18.1875817981,17.9114206645,17.5962064364,17.3479403671,17.3479403671,17.3842039522,17.5655218701,17.5041527301,17.1164113393,16.7258804391,16.3548760898,3.3808817695,3.2916175653,3.2246694139,3.2804595425,3.2553539802,3.3167231202,3.5398836346,4.2456287555,4.3962621071,4.1452065284,4.0057312069,3.863466376,3.7239910619,3.704464511,3.5900947518,3.545462646,3.5036200495,3.4617774531,3.5705682083,3.763044149,3.8188342776,3.7797811831,3.8188342776,3.8076762474,3.2693015123,3.238616946,3.1911953308,3.1242471795,3.1577212551,3.0628780395,3.1326157002,3.2107218817,3.3390391731,3.545462646,3.7686231604,3.704464511,3.7546756282,3.7267805639,3.7379385941,3.5733577103,3.6040422839,3.5677786989,3.6040422839,3.8104657568,3.8299923003,3.6458848804,3.5984632726,3.4059873245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BU03630001,Burgwallen-Nieuwe Zijde,3082,75.482228532,40.8308029577,6.9130929368,6.9393022538,7.0271805536,7.1643940389,7.3786937529,7.629994859,8.0986791233,8.7169106745,8.9697535028,8.9975045418,8.8078724226,8.5766137368,8.3345629838,8.3561471262,8.2543933027,8.1557229317,8.0493439378,8.0740115326,8.0801784293,8.0632194574,7.8967132068,7.6207445099,7.3925692765,7.3324420157,8.6999517026,8.6367409975,8.6197820256,8.7323279202,8.7909134507,8.9265852139,9.1208425076,9.2796401394,9.5494419355,9.8793709924,10.1645900383,10.206216601,10.0890455318,10.0520441437,9.8994134127,9.7251985352,9.5879850498,9.5879850498,9.6080274701,9.7082395673,9.6743216275,9.4600219136,9.2441804734,9.0391311085,1.8685701689,1.8192349834,1.7822335953,1.8130680867,1.7991925631,1.8331105029,1.9564484687,2.3465047823,2.4297579117,2.2910027001,2.2139164715,2.1352885167,2.0582022921,2.0474102169,1.9841995118,1.959531917,1.9364060484,1.9132801799,1.9734074406,2.0797864345,2.110620926,2.0890367795,2.110620926,2.1044540252,1.806901186,1.7899422181,1.7637328971,1.726731509,1.7452322031,1.6928135692,1.7313566836,1.7745249724,1.8454443003,1.959531917,2.0828698828,2.0474102169,2.07516126,2.0597440143,2.065910915,1.9749491628,1.9919081347,1.9718657144,1.9919081347,2.1059957514,2.1167878226,2.0150340033,1.9888246864,1.8824456884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BU03630002,Grachtengordel-West,4565,63.8327855423,71.514974025,12.1082522507,12.1541577554,12.3080762159,12.5484050394,12.9237500575,13.3639028534,14.1848013066,15.267631183,15.7104842985,15.7590901228,15.4269502898,15.021901706,14.5979508635,14.6357553951,14.4575340154,14.2847132892,14.0983909435,14.1415961286,14.1523974213,14.1226938556,13.831058881,13.3477009072,12.9480529769,12.8427403408,15.2379276174,15.1272143421,15.0975107764,15.294634422,15.3972467241,15.6348752281,15.9751160342,16.2532493965,16.7258060705,17.3036753805,17.8032353006,17.8761440442,17.6709194256,17.606111655,17.3387795925,17.0336429913,16.7933141678,16.7933141678,16.8284183798,17.0039394328,16.9445323086,16.5691872904,16.1911419455,15.8319988736,3.2727925344,3.1863821712,3.1215744007,3.1755808785,3.1512779592,3.2106850834,3.4267109948,4.1098929338,4.2557104282,4.0126812779,3.8776650833,3.739948562,3.6049323745,3.5860301016,3.4753168263,3.4321116411,3.3916067827,3.3511019244,3.4564145605,3.6427369061,3.696743384,3.6589388452,3.696743384,3.6859420841,3.1647795787,3.1350760202,3.0891705083,3.0243627377,3.056766623,2.9649556135,3.0324637108,3.1080727812,3.232287676,3.4321116411,3.6481375525,3.5860301016,3.634635933,3.6076326941,3.618433994,3.4591148801,3.4888184457,3.4537142337,3.4888184457,3.6886424109,3.7075446767,3.5293233041,3.4834177994,3.2970954465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BU03630003,Grachtengordel-Zuid,2805,52.0622444904,53.8778154391,9.1220921066,9.1566763086,9.2726351063,9.4536935794,9.736470297,10.0680717751,10.6865186942,11.502299012,11.8359348519,11.8725534156,11.6223265384,11.3171718048,10.9977765235,11.0262576298,10.8919895449,10.7617901941,10.6214190188,10.6539688592,10.6621063166,10.6397283007,10.4200168968,10.0558655836,9.7547795842,9.6754393502,11.4799209961,11.3965120388,11.3741340228,11.5226426609,11.5999485224,11.7789726339,12.0353026068,12.2448421916,12.600856042,13.0362101263,13.412567631,13.467495482,13.3128837482,13.264058993,13.062656871,12.8327736373,12.6517151642,12.6517151642,12.6781619089,12.8103956268,12.7656396002,12.4828628827,12.198051798,11.9274812719,2.4656502298,2.4005505544,2.3517257991,2.392413097,2.3741038097,2.4188598362,2.5816090274,3.0963033404,3.2061590477,3.0230662075,2.921347963,2.8175953515,2.7158771123,2.7016365538,2.6182275965,2.5856777561,2.5551622828,2.5246468094,2.6039870434,2.7443582187,2.7850455165,2.7565644048,2.7850455165,2.7769080537,2.3842756342,2.3618976236,2.3273134162,2.2784886609,2.3029010385,2.2337326344,2.2845917567,2.3415539747,2.4351347564,2.5856777561,2.7484269474,2.7016365538,2.7382551229,2.717911474,2.7260489368,2.606021405,2.628399421,2.6019526763,2.628399421,2.7789424207,2.7931829739,2.6589148943,2.6243306923,2.4839595116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BU03630004,Nieuwmarkt/Lastage,6230,108.4814078228,57.4291957031,9.7233788813,9.7602427164,9.88384499,10.0768380132,10.3782540844,10.7317132221,11.3909253461,12.2604781878,12.616105783,12.6551380757,12.3884173821,12.0631482381,11.7226998742,11.7530583253,11.6099398996,11.4711584005,11.3215345965,11.3562299742,11.3649038157,11.3410507428,11.1068569637,10.7187024541,10.3977702365,10.3132002556,12.2366251149,12.147718219,12.1238651461,12.2821627974,12.3645643093,12.555388875,12.8286149525,13.0519664326,13.4314470949,13.8954977382,14.2966630159,14.3552114607,14.1904084254,14.1383653646,13.9236877318,13.6786516421,13.485658619,13.485658619,13.5138486126,13.654798575,13.607092435,13.3056763638,13.0020918294,12.7136865262,2.6281746657,2.5587839161,2.5067408554,2.5501100746,2.5305939225,2.5783000625,2.7517769393,3.3003975577,3.417494453,3.2223329666,3.1139099186,3.0033184073,2.894895365,2.8797161337,2.7908092377,2.7561138601,2.7235869457,2.6910600313,2.7756300122,2.9252538161,2.9686230354,2.9382645785,2.9686230354,2.9599491881,2.5414362273,2.5175831602,2.4807193192,2.4286762585,2.4546977889,2.3809701185,2.4351816425,2.4958985506,2.5956477513,2.7561138601,2.9295907369,2.8797161337,2.9187484321,2.8970638225,2.9057376698,2.7777984697,2.8016515425,2.7734615489,2.8016515425,2.9621176513,2.9772968769,2.834178457,2.7973146218,2.6476908121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BU03630005,Haarlemmerbuurt,5650,81.5525188267,69.2805088216,11.7299333224,11.7744045226,11.9235138441,12.1563336613,12.5199511302,12.946351476,13.7416011884,14.7905983506,15.2196146453,15.2667017944,14.9449395768,14.5525466218,14.1418420039,14.1784653436,14.0058124407,13.8383914493,13.6578906928,13.6997459441,13.7102097534,13.6814342673,13.3989113452,12.930655755,12.5434947116,12.4414725392,14.7618228645,14.6545687943,14.6257933082,14.816757881,14.9161640907,15.146367959,15.4759780371,15.7454212009,16.2032129748,16.7630269211,17.2469782323,17.3176089628,17.1187965295,17.0560136595,16.797034312,16.5014316178,16.2686118006,16.2686118006,16.3026191914,16.4726561386,16.4151051733,16.0514877044,15.6852542797,15.3373325318,3.1705350542,3.0868245585,3.0240416885,3.0763607492,3.0528171677,3.1103681331,3.3196443757,3.9814804876,4.1227419556,3.8873061826,3.7565085309,3.6230949234,3.4922972787,3.4739856019,3.3667315317,3.3248762804,3.2856369849,3.2463976894,3.3484198619,3.5289206184,3.5812396791,3.5446163324,3.5812396791,3.5707758628,3.0658969329,3.0371214537,2.9926502466,2.9298673765,2.9612588116,2.8723164112,2.937715237,3.0109619233,3.1312957587,3.3248762804,3.5341525231,3.4739856019,3.5210727579,3.4949132276,3.5053770439,3.3510358107,3.3798112969,3.3458039061,3.3798112969,3.5733918186,3.5917034884,3.4190505924,3.3745793922,3.1940786287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BU03630006,Jordaan,12970,95.850871426,135.3143670688,22.9101738755,22.9970322489,23.288263272,23.7429924121,24.4531873644,25.2860059146,26.8392380332,28.8880738382,29.7260016965,29.817969378,29.1895234911,28.4231260548,27.620963421,27.692493843,27.3552789656,27.0282827315,26.6757399162,26.7574889815,26.777926241,26.7217237569,26.1699176136,25.2553500117,24.4991712187,24.2999078771,28.8318713541,28.6223893963,28.5661869122,28.9391670006,29.133321007,29.582940839,30.2267146774,30.7529742531,31.6471045819,32.7404982523,33.6857217571,33.8236732929,33.4353652531,33.3127416687,32.8069193662,32.2295666281,31.7748374879,31.7748374879,31.8412586018,32.1733641575,32.0609592029,31.3507642507,30.6354599768,29.9559209274,6.1924912422,6.0289931251,5.9063695407,6.0085558656,5.9625720113,6.0749769659,6.4837222653,7.7763792637,8.0522823489,7.5924438871,7.336978075,7.0764029412,6.8209371427,6.7851719181,6.5756899603,6.493940895,6.4173011514,6.3406614078,6.5399247493,6.8924675646,6.9946538895,6.923123454,6.9946538895,6.9742166164,5.9881185925,5.9319161219,5.845057735,5.7224341506,5.7837459428,5.610029196,5.737762102,5.8808229595,6.1158514985,6.493940895,6.9026861944,6.7851719181,6.8771396132,6.8260464508,6.8464837239,6.5450340575,6.6012365415,6.5348154277,6.6012365415,6.979325938,7.015091149,6.6778762852,6.5910179118,6.2384750829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BU03630007,De Weteringschans,4650,65.3963628075,71.1048718977,12.0388175614,12.0844598213,12.2374956374,12.4764462969,12.8496389016,13.2872676443,14.1034586609,15.1800790569,15.6203926342,15.6687197288,15.3384845493,14.9357587138,14.5142390146,14.5518267564,14.3746273859,14.2027976989,14.0175438174,14.0605012427,14.0712405955,14.0417073647,13.7517447689,13.271158608,12.873802456,12.7690937345,15.1505458261,15.0404674353,15.0109342046,15.2069274459,15.3089513186,15.5452171435,15.883506841,16.1600452495,16.6298920504,17.2044475729,17.70114277,17.773633419,17.5695856595,17.5051495287,17.2393504801,16.9359636826,16.697013023,16.697013023,16.7319159302,16.9064304589,16.8473640045,16.4741713997,16.0982939533,15.7412103848,3.254024728,3.1681098846,3.1036737537,3.1573705318,3.1332069774,3.1922734319,3.4070605441,4.086324781,4.231306086,3.9896705847,3.8554286395,3.7185018526,3.5842599146,3.5654660366,3.4553876458,3.4124302205,3.372157637,3.3318850534,3.4365937749,3.6218476564,3.6755444344,3.6379566855,3.6755444344,3.6648050746,3.1466311719,3.1170979482,3.0714556812,3.0070195504,3.0392376158,2.9479530959,3.0150740685,3.0902495592,3.2137521445,3.4124302205,3.6272173328,3.5654660366,3.6137931382,3.5869447492,3.5976841091,3.4392786095,3.4688118403,3.4339089331,3.4688118403,3.6674899163,3.6862837872,3.5090844239,3.4634421639,3.2781882753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BU03630008,Weesperbuurt/Plantage,4715,85.6824533539,55.0287697824,9.3169610233,9.3522840236,9.4707199685,9.655646268,9.9444637482,10.2831489984,10.9148073694,11.7480146354,12.0887777059,12.1261785265,11.8706062264,11.5589326843,11.2327143834,11.2618039118,11.1246675511,10.991686842,10.8483170148,10.8815621949,10.8898734871,10.8670174252,10.6426124792,10.2706820545,9.963164164,9.8821290397,11.7251585734,11.6399678085,11.6171117466,11.7687928715,11.8477501644,12.0305986436,12.2924044157,12.506420249,12.870039376,13.3146936273,13.6990909959,13.7551922324,13.5972776355,13.5474098709,13.3417053353,13.1069112658,12.9219849664,12.9219849664,12.9489966745,13.0840552094,13.038343091,12.7495256108,12.4586303048,12.1822797685,2.5183222028,2.4518318482,2.4019640837,2.443520556,2.4248201401,2.4705322586,2.6367581477,3.1624475177,3.2746499961,3.0876458709,2.9837546902,2.8777856836,2.7738945084,2.7593497387,2.6741589738,2.6409137938,2.6097464396,2.5785790854,2.6596142096,2.8029840368,2.8445405091,2.8154509752,2.8445405091,2.8362292114,2.4352092582,2.4123532018,2.3770301959,2.3271624314,2.3520963136,2.281450313,2.3333959033,2.3915749656,2.4871548486,2.6409137938,2.807139683,2.7593497387,2.7967505649,2.7759723287,2.7842836265,2.66169203,2.6845480919,2.6575363838,2.6845480919,2.8383070372,2.8528518014,2.7157154461,2.6803924458,2.5370226131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BU03630009,Oostelijke Eilanden/Kadijken,7675,135.3760258915,56.6939378628,9.5988918417,9.6352837144,9.7573035257,9.9478256866,10.2453827706,10.5943166212,11.2450889459,12.103509026,12.4545835716,12.4931161394,12.229810233,11.9087054636,11.5726158118,11.602585588,11.4612994872,11.3242947878,11.1765865962,11.2108377739,11.2194005654,11.1958528801,10.9646574507,10.5814724281,10.2646490602,10.1811618167,12.0799613406,11.992192707,11.9686450217,12.1249160106,12.2062625476,12.3946440135,12.6643720164,12.8848639591,13.2594861844,13.7175956532,14.1136248687,14.1714237261,14.0087306407,13.9573538798,13.7454247343,13.5035258069,13.313003646,13.313003646,13.3408327271,13.4799781272,13.4328827622,13.1353256781,12.8356278934,12.5509150024,2.5945265185,2.5260241689,2.474647408,2.5174613773,2.4981950877,2.5452904528,2.7165463298,3.2581430363,3.3737407567,3.181077895,3.0740429719,2.964867348,2.8578324306,2.8428475368,2.7550789032,2.7208277256,2.6887172486,2.6566067717,2.7400940151,2.8878022068,2.930616176,2.9006463942,2.930616176,2.9220533788,2.50889858,2.4853509003,2.448959022,2.3975822611,2.4232706415,2.3504868961,2.4040043576,2.4639439157,2.5624160416,2.7208277256,2.8920836026,2.8428475368,2.8813801103,2.8599731256,2.8685359229,2.7422347102,2.7657823956,2.7379533144,2.7657823956,2.9241940795,2.9391789676,2.7978928725,2.7615009998,2.6137928024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
