id,bu_code,bu_naam,adam_total_household,area_ha,hh_per_ha,Feb 11 01:00,Feb 11 02:00,Feb 11 03:00,Feb 11 04:00,Feb 11 05:00,Feb 11 06:00,Feb 11 07:00,Feb 11 08:00,Feb 11 09:00,Feb 11 10:00,Feb 11 11:00,Feb 11 12:00,Feb 11 13:00,Feb 11 14:00,Feb 11 15:00,Feb 11 16:00,Feb 11 17:00,Feb 11 18:00,Feb 11 19:00,Feb 11 20:00,Feb 11 21:00,Feb 11 22:00,Feb 11 23:00,Feb 11 00:00,Feb 15 01:00,Feb 15 02:00,Feb 15 03:00,Feb 15 04:00,Feb 15 05:00,Feb 15 06:00,Feb 15 07:00,Feb 15 08:00,Feb 15 09:00,Feb 15 10:00,Feb 15 11:00,Feb 15 12:00,Feb 15 13:00,Feb 15 14:00,Feb 15 15:00,Feb 15 16:00,Feb 15 17:00,Feb 15 18:00,Feb 15 19:00,Feb 15 20:00,Feb 15 21:00,Feb 15 22:00,Feb 15 23:00,Feb 15 00:00,Aug 1201:00, Aug 12 02:00, Aug 12 03:00, Aug 12 04:00, Aug 12 05:00, Aug 12 06:00, Aug 12 07:00, Aug 12 08:00, Aug 12 09:00, Aug 12 10:00, Aug 12 11:00, Aug 12 12:00, Aug 12 13:00, Aug 12 14:00, Aug 12 15:00, Aug 12 16:00, Aug 12 17:00, Aug 12 18:00, Aug 12 19:00, Aug 12 20:00, Aug 12 21:00, Aug 12 22:00, Aug 12 23:00, Aug 12 00:00, Aug 16 01:00, Aug 16 02:00, Aug 16 03:00, Aug 16 04:00, Aug 16 05:00, Aug 16 06:00, Aug 16 07:00, Aug 16 08:00, Aug 16 09:00, Aug 16 10:00, Aug 16 11:00, Aug 16 12:00, Aug 16 13:00, Aug 16 14:00, Aug 16 15:00, Aug 16 16:00, Aug 16 17:00, Aug 16 18:00, Aug 16 19:00, Aug 16 20:00, Aug 16 21:00, Aug 16 22:00, Aug 16 23:00, Aug 16 00:00
1,BU03630000,Burgwallen-Oude Zijde,3004,40.6622527267,73.8768710182,2.60559820784545E-06,2.585690485637E-06,2.60056803367624E-06,2.63269247007511E-06,2.71117578318692E-06,2.88862438323642E-06,3.20967732377971E-06,3.46551069274558E-06,3.57544198238728E-06,3.59318803023944E-06,3.55315146139761E-06,3.48421484472972E-06,3.42989841864473E-06,3.42641405868573E-06,3.39121966674321E-06,3.36858881241381E-06,3.37608794700887E-06,3.38526216533164E-06,3.34005914574959E-06,3.26321387438171E-06,3.13877490089206E-06,0.000002976,2.83789923625118E-06,2.74958479508132E-06,2.93541647253904E-06,2.89023232559071E-06,2.87554365152638E-06,2.89526248686805E-06,2.91357039089495E-06,2.97025375546736E-06,3.05817055500444E-06,3.14212430060431E-06,3.2654136949491E-06,0.00000337,0.000003444,3.45527835506853E-06,3.4062122194203E-06,3.37168450583398E-06,3.33690312463125E-06,3.33164724660032E-06,3.38239827327282E-06,3.48067032466708E-06,3.48131114911977E-06,3.46607738166324E-06,3.39412181397497E-06,3.2798081687784E-06,3.14975620824362E-06,3.04462097528843E-06,1.4036605493458E-06,0.000001383,1.37214954419516E-06,1.4036605493458E-06,1.46448644455458E-06,1.57550372706204E-06,1.71774605669692E-06,1.86379349082119E-06,1.90705236416839E-06,1.88275969825895E-06,1.846921775455E-06,1.83769575549095E-06,1.81756810332812E-06,1.80234552395183E-06,1.78671902495673E-06,1.7880943208552E-06,1.72641921777289E-06,1.68137623170605E-06,1.66315008330825E-06,1.6991680334186E-06,1.67313004390938E-06,1.60856528510795E-06,1.53940782310501E-06,1.477537420364E-06,1.33456375353729E-06,0.000001315,1.29942945723899E-06,1.28970735817289E-06,1.28306848679811E-06,1.28817692596154E-06,1.35013295713123E-06,1.41682075542458E-06,1.477537420364E-06,1.52806305140193E-06,0.000001572,1.55657035479754E-06,1.5514142913822E-06,1.53782497980293E-06,1.54451416530914E-06,1.56816601965777E-06,1.58608607645654E-06,1.57071394836157E-06,1.575061358892E-06,0.00000162,1.59010083820071E-06,1.49911757375489E-06,1.43609373196133E-06,1.37117187703761E-06
2,BU03630001,Burgwallen-Nieuwe Zijde,3082,75.482228532,40.8308029577,1.4400808472961E-06,1.4290781035195E-06,1.43730073428488E-06,1.45505549994633E-06,1.49843222460954E-06,1.59650579924639E-06,1.77394765856774E-06,1.91534349374973E-06,1.97610111334545E-06,1.98590912731712E-06,1.96378142711876E-06,1.92568103963695E-06,1.89566104474171E-06,1.89373528349927E-06,1.87428379262242E-06,1.86177600850605E-06,1.86592068440778E-06,0.000001871,0.000001846,1.80353662624515E-06,1.73476079509817E-06,1.64480121583876E-06,1.56847065843697E-06,1.51966039487237E-06,1.62236718931289E-06,1.59739448844682E-06,1.58927624591483E-06,1.60017459433287E-06,1.61029313903554E-06,1.64162131059908E-06,1.69021180271244E-06,1.73661196553613E-06,1.8047524389737E-06,1.8625569141826E-06,1.90343316039591E-06,1.90968821141671E-06,1.88256998498214E-06,1.86348695871705E-06,1.84426373360055E-06,1.84135887694795E-06,1.86940832112995E-06,1.92372202867367E-06,1.92407620416321E-06,1.91565669547601E-06,1.87588777232731E-06,1.81270808079371E-06,1.74083002340346E-06,1.68272312307673E-06,7.757852561963E-07,7.6437313928337E-07,7.58369526150182E-07,7.757852561963E-07,8.09402951528626E-07,8.70760785509506E-07,9.49376304189705E-07,1.03009485551731E-06,0.000001054,1.04057723610643E-06,1.0207700739425E-06,1.01567097055542E-06,1.00454667430227E-06,9.96133349124116E-07,9.87496782732034E-07,9.88256891208006E-07,9.54169849531193E-07,9.29275166481227E-07,9.1920180707047E-07,9.391084680271E-07,9.24717603817328E-07,0.000000889,8.50811040457543E-07,8.16616059154E-07,7.37596339749492E-07,7.26799181274816E-07,7.18178062967577E-07,7.12804782997375E-07,7.09135563589064E-07,0.000000712,7.462012397052E-07,7.83058733996317E-07,8.16616059154E-07,8.44540930047825E-07,8.68842741184304E-07,8.60296552501228E-07,8.574468621117E-07,8.49936223182674E-07,8.53633250568747E-07,8.6670532835416E-07,8.76609514847945E-07,8.68113536003206E-07,8.70516294272438E-07,8.95365784905317E-07,8.7882842238205E-07,8.28543134282605E-07,7.9371066194798E-07,7.57829182000273E-07
3,BU03630002,Grachtengordel-West,4565,63.8327855423,71.514974025,2.52229534880745E-06,0.000002503,2.51742599294419E-06,2.54852338787943E-06,2.62449753271299E-06,2.79627297269049E-06,3.10706161854349E-06,3.35471580968831E-06,3.46113251649935E-06,3.47831121036798E-06,3.43955463958593E-06,3.37282197640693E-06,3.32024208574478E-06,3.31686912329351E-06,3.2827999215135E-06,3.26089259196334E-06,3.26815197380212E-06,0.000003277,3.23327503937463E-06,3.15888656690584E-06,3.03842599739123E-06,2.88086218507282E-06,2.74716954533811E-06,2.66167858072025E-06,2.8415690850587E-06,2.79782950796487E-06,2.78361044143303E-06,2.80269885134843E-06,2.82042143844357E-06,2.87529259485796E-06,2.9603986307336E-06,3.04166831437244E-06,0.000003161,3.26226034486382E-06,3.33385491255362E-06,3.34481060724669E-06,3.29731315143909E-06,3.2638893138261E-06,3.23021991853384E-06,3.22513207472454E-06,3.27426055437187E-06,3.36939077721404E-06,0.00000337,3.35526438115146E-06,3.28560928499947E-06,0.000003175,3.04905622440523E-06,2.94728224087999E-06,1.358784506475E-06,1.33879623327244E-06,1.32828093094736E-06,1.358784506475E-06,1.4176657538255E-06,1.52513373352501E-06,1.66282847301374E-06,1.80420666504954E-06,1.8460825209316E-06,1.82256650911941E-06,1.787874350625E-06,1.77894329319133E-06,1.75945913662419E-06,1.74472323411933E-06,1.72959632559797E-06,1.73092765229197E-06,1.67122434685779E-06,1.62762141762999E-06,0.00000161,1.644844402575E-06,1.61963886642071E-06,1.55713828965052E-06,1.49019184172154E-06,1.4302994805E-06,1.29189678519835E-06,0.000001273,1.25788575776136E-06,1.24847448123329E-06,0.000001242,0.000001247,0.000001307,1.37152397124816E-06,1.4302994805E-06,1.47920977057419E-06,1.52177428722076E-06,1.50680567486415E-06,1.501814454525E-06,1.48865960306453E-06,1.49513493047258E-06,0.000001518,1.53537775755635E-06,1.52049708751349E-06,1.52470550818527E-06,1.56822928309085E-06,1.53926416446414E-06,1.45118970078051E-06,1.39018077678707E-06,1.32733452051587E-06
4,BU03630003,Grachtengordel-Zuid,2805,52.0622444904,53.8778154391,1.90024208410454E-06,1.8857235403685E-06,1.89657361802335E-06,0.00000192,1.97723897149781E-06,2.10665082654292E-06,2.34079218686814E-06,2.52736943149603E-06,2.60754144815925E-06,2.62048349995131E-06,2.59128514819188E-06,0.000002541,2.50139768276158E-06,2.49885656670987E-06,2.47318957611543E-06,2.4566850737457E-06,2.46215413306152E-06,2.46884481763952E-06,2.43587861437771E-06,2.37983596813318E-06,2.28908361283304E-06,2.17037848686873E-06,2.06965737961257E-06,2.00525035889854E-06,2.14077592573446E-06,2.10782348613458E-06,2.09711115276995E-06,2.11149194281383E-06,2.1248437518529E-06,2.16618247956035E-06,2.23029950338893E-06,2.2915263034484E-06,2.38144027980605E-06,2.45771550883071E-06,2.51165328839397E-06,2.5199070688746E-06,2.48412352573951E-06,2.45894273837672E-06,2.43357695323544E-06,2.42974388312002E-06,2.46675620390079E-06,2.53842523068642E-06,2.53889257887151E-06,2.52778271322408E-06,2.47530608904803E-06,2.39193805527526E-06,2.29709219309115E-06,2.22041790248793E-06,1.0236784933429E-06,1.00861976600312E-06,1.00069776748909E-06,1.0236784933429E-06,0.000001068,0.000001149,1.25273855996363E-06,1.35924979402988E-06,1.39079814687944E-06,1.37308169851943E-06,1.3469453859775E-06,1.34021692287383E-06,1.32553798596833E-06,1.31443627969899E-06,0.000001303,0.000001304,1.25906382747001E-06,1.22621433538016E-06,1.21292215007225E-06,1.2391897550993E-06,1.22020045609613E-06,1.17311389015703E-06,1.12267790223987E-06,1.077556308782E-06,9.73286748799647E-07,0.000000959,9.47663585481374E-07,9.40573335827525E-07,9.35731659647624E-07,9.39457203767674E-07,9.84641245358674E-07,1.03327612714196E-06,1.077556308782E-06,1.11440425031616E-06,1.14647142510583E-06,1.13519440032991E-06,1.1314341242211E-06,1.1215235471877E-06,1.12640191706415E-06,1.143651026641E-06,1.15671998177616E-06,1.14550921081371E-06,1.1486797427944E-06,1.18146960175115E-06,1.15964791563831E-06,1.09329454330002E-06,1.04733175589962E-06,0.000001
5,BU03630004,Nieuwmarkt/Lastage,6230,108.4814078228,57.4291957031,2.02549738963821E-06,0.00000201,2.02158711497711E-06,2.04655948480511E-06,2.10756956124725E-06,2.24551165650698E-06,2.49508654915469E-06,0.000002694,2.77941870712166E-06,2.7932138400369E-06,2.76209086588263E-06,2.70850204444006E-06,2.66627842802892E-06,2.66356981317791E-06,2.63621097143676E-06,2.61861856742318E-06,2.62444812222603E-06,2.63157982626574E-06,2.59644064099475E-06,2.53670391869697E-06,0.00000244,2.31343995402098E-06,2.20607977000266E-06,2.13742733175708E-06,2.28188612685041E-06,2.24676161247928E-06,2.23534317087729E-06,2.25067187711871E-06,2.26490377661288E-06,0.000002309,2.37731069110305E-06,2.44257328302949E-06,2.53841397929016E-06,2.61971692409696E-06,2.67721003648624E-06,0.000002686,2.6478656372329E-06,0.000002621,0.000002594,2.58990153618672E-06,2.62935354061974E-06,2.70574666331E-06,2.70624481695942E-06,2.69440263955669E-06,2.63846699526445E-06,2.54960372031725E-06,2.44850605077352E-06,2.366777740066E-06,1.0911547183589E-06,1.07510338828199E-06,1.06665920769831E-06,1.0911547183589E-06,1.13843855958846E-06,1.22473936193263E-06,1.33531338155853E-06,1.44884535118123E-06,1.4824732277969E-06,1.4635889918319E-06,1.4357298925775E-06,1.42855791982373E-06,1.41291141423718E-06,1.40107793404158E-06,1.38893046140805E-06,0.00000139,1.34205558189716E-06,0.000001307,1.292872455229E-06,1.3208715011713E-06,1.3006305140446E-06,1.25044021608494E-06,1.19667971750186E-06,1.148583914062E-06,1.03744137947146E-06,1.02225499854915E-06,1.01012925390095E-06,1.00257164727499E-06,9.97410829847626E-07,1.001381944872E-06,1.04954431274157E-06,1.10138498447569E-06,1.148583914062E-06,1.18786070411697E-06,0.000001222,0.00000121,0.000001206,1.19544927262094E-06,1.20064920242625E-06,0.000001219,0.000001233,0.000001221,1.22439548098775E-06,1.25934669814007E-06,1.23608662584255E-06,1.16535954133624E-06,1.11636709627949E-06,1.06589920476708E-06
6,BU03630005,Haarlemmerbuurt,5650,81.5525188267,69.2805088216,2.4434869416669E-06,2.424817808756E-06,2.43876972745492E-06,2.46889549305174E-06,2.54249584714702E-06,2.70890421192578E-06,0.00000301,3.24989865990617E-06,0.000003353,3.36963235713304E-06,3.33208672447963E-06,3.26743910454978E-06,3.21650205774914E-06,3.21323448255882E-06,3.18022976338435E-06,0.000003159,0.000003166,3.17464291700861E-06,3.13225227222689E-06,3.06018804661034E-06,2.94349123363247E-06,2.79085045821285E-06,2.6613350073188E-06,2.5785151837906E-06,2.75278506003198E-06,2.7104121136943E-06,2.6966373178879E-06,2.7151293158165E-06,2.73229816567383E-06,2.78545488827419E-06,2.86790181005022E-06,2.94663224533362E-06,3.06225100198629E-06,3.160331940017E-06,3.22968955562178E-06,3.24030294272257E-06,3.19428953153218E-06,3.16191001230326E-06,3.12929260777554E-06,3.1243637322118E-06,0.000003172,3.26411511220842E-06,3.26471606679049E-06,3.25043009140859E-06,0.000003183,3.07574990167394E-06,2.95378932220008E-06,2.85519523810008E-06,1.3163296676104E-06,0.000001297,1.28677916770119E-06,1.3163296676104E-06,1.373371186986E-06,1.47748135995494E-06,1.61087386612438E-06,1.74783473640441E-06,1.7884021929742E-06,1.76562093232194E-06,0.000001732,1.72336071147819E-06,1.70448533189042E-06,1.69020984850529E-06,1.67555557597641E-06,1.67684530574316E-06,0.000001619,1.57676684526125E-06,1.55967466448188E-06,1.5934517028968E-06,0.000001569,1.50848594274636E-06,1.44363121771078E-06,1.385610176432E-06,1.25153183432945E-06,1.23321153252867E-06,1.21858347185704E-06,1.20946624801106E-06,1.2032404241435E-06,0.000001208,1.26613237617792E-06,1.32867109139797E-06,1.385610176432E-06,0.000001433,1.47422687860344E-06,1.45972595632028E-06,1.4548906852536E-06,1.44214685341867E-06,1.44841986104724E-06,1.47060017920722E-06,1.4874053123432E-06,0.000001473,1.47706651439523E-06,1.51923040122319E-06,1.49117028956273E-06,1.40584768766878E-06,1.34674497030715E-06,1.28586232759683E-06
7,BU03630006,Jordaan,12970,95.850871426,135.3143670688,4.7724662329479E-06,0.000004736,4.76325286447992E-06,4.82209263014465E-06,4.96584424946501E-06,5.29086268449086E-06,5.87890972609458E-06,6.34749928490478E-06,6.5488516523495E-06,6.58135567153701E-06,0.000006508,6.38175818694556E-06,6.28227112535468E-06,6.2758891013735E-06,6.21142634321337E-06,0.00000617,6.18371078013802E-06,6.20051446346391E-06,6.1177197010431E-06,0.000005977,0.000005749,5.45091497969777E-06,0.000005198,5.03619497036855E-06,5.37656801906372E-06,5.29380782413951E-06,5.26690375244968E-06,0.000005303,5.33655429528439E-06,5.44037668915049E-06,5.60140687248274E-06,5.75517824628799E-06,0.000005981,6.17256315613817E-06,0.000006308,6.32875752882712E-06,6.23888700509964E-06,6.17564534846377E-06,6.11193906910516E-06,6.10231229689155E-06,6.19526890100366E-06,6.37526597250512E-06,6.37643971949823E-06,6.3485372437566E-06,6.21674197461998E-06,6.00736279634792E-06,5.76915700225732E-06,5.57658918897706E-06,0.000002571,2.53315291530449E-06,2.51325678168976E-06,0.000002571,2.68238291084257E-06,2.88572440472493E-06,3.14625832474157E-06,3.41376175089073E-06,0.000003493,3.44850063898607E-06,3.38285917672E-06,0.000003366,3.32909439878272E-06,3.30121241535453E-06,3.27259060460535E-06,3.27510962431301E-06,3.16214426150777E-06,3.07964261970135E-06,3.04625923867073E-06,3.1122304425824E-06,3.06453873580564E-06,2.94628062130032E-06,2.81961041897533E-06,2.706287341376E-06,2.44441388940758E-06,2.40863181902665E-06,2.38006120364155E-06,2.36225401089531E-06,2.35009412017785E-06,2.35945084038788E-06,2.47293075674431E-06,2.5950774732052E-06,2.706287341376E-06,2.79883110629756E-06,2.87936795481276E-06,0.000002851,2.8416017084448E-06,2.81671125125697E-06,0.000002829,2.87228451184017E-06,2.90510724932408E-06,0.000002877,2.88491415426202E-06,2.96726602719612E-06,2.91246076791329E-06,2.74581398560294E-06,2.63037824576985E-06,2.51146606680423E-06
8,BU03630007,De Weteringschans,4650,65.3963628075,71.1048718977,2.50783126345572E-06,2.4886705164195E-06,0.000002503,2.5339088980178E-06,2.60944736963969E-06,2.78023776453659E-06,3.0892441950348E-06,3.33547821492167E-06,3.44128467585849E-06,3.45836485862513E-06,3.419830537132E-06,3.35348055195161E-06,3.30120218031128E-06,3.29784856009002E-06,0.000003264,3.24219302579425E-06,3.24941077875774E-06,3.25824076315762E-06,3.21473384587116E-06,3.14077195358676E-06,0.000003021,2.86434190066157E-06,2.73141592045106E-06,2.64641520318255E-06,2.82527412665957E-06,2.78178537387013E-06,2.76764784647764E-06,2.7866267940375E-06,2.80424775107868E-06,2.85880424922354E-06,2.94342224512105E-06,3.02422588831732E-06,3.14288923274986E-06,3.24355293532512E-06,3.31473694445829E-06,3.3256298137954E-06,3.27840473182187E-06,3.24517256297608E-06,3.21169624459984E-06,3.20663757699592E-06,3.25548432971417E-06,3.35006902894692E-06,3.35068580846113E-06,0.000003336,3.26676798112395E-06,3.15674359885335E-06,3.03157143243077E-06,2.93038107111496E-06,0.000001351,1.33111891546912E-06,1.32066391307299E-06,0.000001351,1.40953615929833E-06,1.51638786460646E-06,1.65329299455745E-06,1.79386045432216E-06,1.83549617339632E-06,1.81211501399232E-06,1.7776217974425E-06,1.76874195509634E-06,1.74936953029119E-06,1.73471813071802E-06,1.71967796734966E-06,0.000001721,1.66164072232061E-06,1.61828783379095E-06,1.60074556475394E-06,1.6354120536471E-06,1.61035105846674E-06,1.54820889082472E-06,1.48164634684153E-06,1.422097437954E-06,1.28448841195785E-06,1.26568568179856E-06,1.25067242052407E-06,1.2413151128966E-06,1.2349253444597E-06,1.23984210537969E-06,1.29947342975623E-06,1.36365897645623E-06,1.422097437954E-06,1.47072725230573E-06,0.000001513,1.4981649080721E-06,1.4932023098517E-06,1.48012289479656E-06,1.48656108948407E-06,1.509325481782E-06,1.52657314435237E-06,1.51177780740965E-06,0.000001516,1.55923628303935E-06,1.53043726468644E-06,1.44286786340981E-06,1.38220879467193E-06,1.31972292982561E-06
9,BU03630008,Weesperbuurt/Plantage,4715,85.6824533539,55.0287697824,1.94083563568411E-06,0.000001926,1.93708880271044E-06,0.000001961,2.01947735409444E-06,2.15165374469885E-06,2.390796904251E-06,2.58135986894412E-06,2.66324454470529E-06,2.67646306855917E-06,2.64664097269467E-06,2.59529205718279E-06,2.55483330378354E-06,2.55223790363489E-06,0.000002526,2.50916553036228E-06,2.51475142139301E-06,2.52158503441775E-06,2.48791459705668E-06,2.43067475069222E-06,0.000002338,2.21674277476177E-06,2.1138700324604E-06,2.04808712930522E-06,2.18650783467834E-06,2.15285145500274E-06,2.1419102815021E-06,2.15659827837363E-06,2.17023531283393E-06,2.21245713106414E-06,2.27794384233186E-06,2.34047858798788E-06,2.43231333416087E-06,2.51021797791619E-06,2.56530799279468E-06,2.57373809305397E-06,2.53719013094505E-06,2.51147142391446E-06,2.48556376712635E-06,2.48164881379681E-06,2.51945180307465E-06,2.59265184549234E-06,2.59312917731206E-06,2.58178197932262E-06,2.52818433347884E-06,0.000002443,2.34616337786455E-06,2.26785114765538E-06,1.0455466258656E-06,1.03016620939468E-06,1.02207497872966E-06,1.0455466258656E-06,1.09085409677118E-06,1.17354769757983E-06,1.27949994356574E-06,1.38828650313395E-06,1.42050880152938E-06,1.40241388899035E-06,1.37571924456E-06,1.36884704597319E-06,1.35385453313576E-06,1.34251566882754E-06,1.33087593633948E-06,1.33190035494759E-06,0.000001286,1.25240910039839E-06,1.23883296336958E-06,1.2656617049952E-06,1.24626675078894E-06,1.19817430725185E-06,1.14666089036177E-06,1.100575395648E-06,9.94078397489885E-07,9.79526777022794E-07,9.67907864333584E-07,9.60666150601846E-07,9.55721045057137E-07,9.59526175388156E-07,1.00567545227114E-06,1.05534928724821E-06,1.100575395648E-06,1.13821049415957E-06,0.000001171,1.15944476970553E-06,1.1556041654304E-06,1.14548187562453E-06,1.15046445872774E-06,1.16808204904984E-06,1.18143018719479E-06,0.00000117,1.17321819017307E-06,1.2067085161082E-06,1.18442066847406E-06,1.11664983513696E-06,1.06970517663883E-06,1.02134674240623E-06
10,BU03630009,Oostelijke Eilanden/Kadijken,7675,135.3760258915,56.6939378628,1.99956523408552E-06,1.984287825198E-06,1.99570502211583E-06,2.02035767423784E-06,2.08058664733189E-06,2.21676268952741E-06,2.46314231025263E-06,2.65947170162343E-06,2.74383420396315E-06,2.75745271974995E-06,2.72672820861575E-06,2.67382547724698E-06,2.63214244380295E-06,2.62946850696339E-06,2.60245993658935E-06,2.58509276562705E-06,2.59084768546729E-06,2.59788808331255E-06,2.56319878004245E-06,2.5042268585204E-06,2.40873099718383E-06,2.28382131069101E-06,2.1778356438685E-06,2.11006215304431E-06,2.25267146269052E-06,0.000002218,2.20672438957578E-06,2.22185684456716E-06,2.23590653507237E-06,2.27940598360927E-06,2.3468743197929E-06,2.41130136401918E-06,2.50591502545056E-06,2.58617706019625E-06,2.64293409642898E-06,2.65161929114017E-06,0.000002614,2.58746843541364E-06,2.56077681410493E-06,2.55674339446502E-06,2.59569030048565E-06,2.67110537287039E-06,2.67159714872935E-06,2.65990658504286E-06,2.60468707686423E-06,0.000002517,2.41715817537995E-06,2.33647622063279E-06,1.0771848193932E-06,1.06133899221672E-06,0.000001053,1.0771848193932E-06,1.12386329231561E-06,1.20905919773809E-06,1.31821755388711E-06,1.43029598981901E-06,1.46349333350397E-06,1.44485086973135E-06,1.41734844657E-06,1.41026829556531E-06,1.3948221099687E-06,1.38314013214025E-06,1.37114818187446E-06,1.37220359934324E-06,1.32487343479189E-06,1.29030694303293E-06,1.27631999271273E-06,0.000001304,0.000001284,1.23443100750302E-06,1.18135879695179E-06,1.133878757256E-06,1.02415916475873E-06,1.0091672129156E-06,9.97196712454842E-07,9.89735864793686E-07,9.84641120579244E-07,9.88561393981679E-07,1.03610714589224E-06,1.08728410886512E-06,1.133878757256E-06,1.17265269214338E-06,1.20639597590766E-06,1.19452951590529E-06,1.1905726951188E-06,1.18014410528202E-06,1.18527746112418E-06,1.20342815893122E-06,1.21718021113166E-06,1.20538346794231E-06,1.20871971945213E-06,1.2432234611327E-06,1.22026118423896E-06,1.15043960855561E-06,1.10207440681826E-06,1.05225264855679E-06
