id,bu_code,bu_naam,adam_total_household,area_ha,hh_per_ha,Feb 11 01:00,Feb 11 02:00,Feb 11 03:00,Feb 11 04:00,Feb 11 05:00,Feb 11 06:00,Feb 11 07:00,Feb 11 08:00,Feb 11 09:00,Feb 11 10:00,Feb 11 11:00,Feb 11 12:00,Feb 11 13:00,Feb 11 14:00,Feb 11 15:00,Feb 11 16:00,Feb 11 17:00,Feb 11 18:00,Feb 11 19:00,Feb 11 20:00,Feb 11 21:00,Feb 11 22:00,Feb 11 23:00,Feb 11 00:00,Feb 15 01:00,Feb 15 02:00,Feb 15 03:00,Feb 15 04:00,Feb 15 05:00,Feb 15 06:00,Feb 15 07:00,Feb 15 08:00,Feb 15 09:00,Feb 15 10:00,Feb 15 11:00,Feb 15 12:00,Feb 15 13:00,Feb 15 14:00,Feb 15 15:00,Feb 15 16:00,Feb 15 17:00,Feb 15 18:00,Feb 15 19:00,Feb 15 20:00,Feb 15 21:00,Feb 15 22:00,Feb 15 23:00,Feb 15 00:00,Aug 1201:00, Aug 12 02:00, Aug 12 03:00, Aug 12 04:00, Aug 12 05:00, Aug 12 06:00, Aug 12 07:00, Aug 12 08:00, Aug 12 09:00, Aug 12 10:00, Aug 12 11:00, Aug 12 12:00, Aug 12 13:00, Aug 12 14:00, Aug 12 15:00, Aug 12 16:00, Aug 12 17:00, Aug 12 18:00, Aug 12 19:00, Aug 12 20:00, Aug 12 21:00, Aug 12 22:00, Aug 12 23:00, Aug 12 00:00, Aug 16 01:00, Aug 16 02:00, Aug 16 03:00, Aug 16 04:00, Aug 16 05:00, Aug 16 06:00, Aug 16 07:00, Aug 16 08:00, Aug 16 09:00, Aug 16 10:00, Aug 16 11:00, Aug 16 12:00, Aug 16 13:00, Aug 16 14:00, Aug 16 15:00, Aug 16 16:00, Aug 16 17:00, Aug 16 18:00, Aug 16 19:00, Aug 16 20:00, Aug 16 21:00, Aug 16 22:00, Aug 16 23:00, Aug 16 00:00
1,BU03630000,Burgwallen-Oude Zijde,3004,40.6622527267,73.8768710182,1.24076105135498E-08,1.23103635359795E-08,1.23836573032202E-08,1.25366308098815E-08,1.29103608723187E-08,1.37553542058877E-08,1.52841777322843E-08,1.65024318702171E-08,0.000000017,1.71104191916163E-08,1.69197688637981E-08,1.65914992606177E-08,1.63328496125939E-08,1.6316257422313E-08,1.61486650797296E-08,0.000000016,1.60766092714708E-08,1.61202960253887E-08,1.59050435511885E-08,1.5539113687532E-08,1.4946547147105E-08,1.41714632873972E-08,1.35138058869104E-08,1.30932609289587E-08,0.000000014,1.37630110742415E-08,1.36930650072684E-08,1.37869642231812E-08,1.38741447185473E-08,1.41440655022256E-08,1.45627169285925E-08,0.000000015,1.55495890235672E-08,0.000000016,1.63998134806882E-08,1.64537064527074E-08,1.62200581877158E-08,1.60556405039714E-08,1.58900148791964E-08,1.5864986888573E-08,1.61066584441563E-08,1.65746205936528E-08,1.65776721386656E-08,1.65051303888726E-08,1.61624848284522E-08,1.561813413704E-08,0.000000015,1.44981951204211E-08,6.69351141914479E-09,6.58577205373897E-09,6.53404544854838E-09,6.69512206857543E-09,0.000000007,7.50239870029542E-09,8.1797431271282E-09,8.87520709914853E-09,9.08120173413518E-09,0.000000009,8.81038913572232E-09,8.75093216900453E-09,8.65508620632437E-09,8.58259773310399E-09,8.5081858331273E-09,8.51473486121526E-09,8.22104389415665E-09,0.000000008,7.91976230146786E-09,8.0813746678518E-09,0.000000008,7.6598346909902E-09,7.33051344335717E-09,0.000000007,6.35506549303472E-09,6.26203812081573E-09,6.1877593201857E-09,6.14146361034711E-09,6.10984993713384E-09,6.13417583791211E-09,6.42920455776773E-09,6.74676550202184E-09,0.000000007,7.27649072096156E-09,7.48587299829785E-09,7.41223978475017E-09,7.39627321051057E-09,7.32297609429968E-09,7.35482935861495E-09,7.46745723646552E-09,7.5527908402692E-09,7.47959023029322E-09,7.50029218519998E-09,7.71439322113263E-09,7.57190875333678E-09,7.13865511311852E-09,6.83854158076822E-09,6.52938989065527E-09
2,BU03630001,Burgwallen-Nieuwe Zijde,3082,75.482228532,40.8308029577,6.85752784426712E-09,6.8037806819323E-09,6.84428921088036E-09,6.92883571403015E-09,7.13539154575969E-09,7.60240856783994E-09,8.44736980270355E-09,9.12068330357016E-09,9.41000530164505E-09,9.45671013008147E-09,9.35134012913693E-09,9.16990971255693E-09,0.000000009,0.000000009,8.92516091724963E-09,8.86560004050501E-09,8.88533659241802E-09,8.90948170328288E-09,8.79051441028448E-09,8.58826964878644E-09,8.26076569094369E-09,7.83238674208936E-09,7.46890789731889E-09,7.23647807082083E-09,7.72555804434711E-09,7.60664042117535E-09,7.56798212340391E-09,7.6198790206327E-09,7.66806256683586E-09,7.8172443361861E-09,0.000000008,8.26958078826729E-09,8.59405923320809E-09,8.86931863896478E-09,9.06396743045668E-09,9.09375338769864E-09,0.000000009,8.87374742246215E-09,8.78220825524073E-09,8.76837560451405E-09,8.90194438633309E-09,9.16058108892226E-09,9.16226763887244E-09,9.12217474036197E-09,8.93279891584433E-09,8.63194324187478E-09,8.28966677811171E-09,0.000000008,3.6994182628943E-09,3.63987209182557E-09,3.61128345785801E-09,3.70030844826125E-09,3.85429976918392E-09,4.14647993099763E-09,4.5208395437605E-09,4.90521359770149E-09,0.000000005,0.000000005,4.86938953725742E-09,4.83652843121628E-09,4.78355559191559E-09,4.74349213868628E-09,4.70236563205732E-09,4.70598519622861E-09,4.54366595014857E-09,4.42511984038677E-09,4.37715146224033E-09,4.46647255281176E-09,4.40341716103488E-09,4.23349279207191E-09,4.05148114503592E-09,3.89430248091787E-09,3.51236352261663E-09,3.46094848226103E-09,3.41989553794085E-09,3.3943084904637E-09,3.37683601709077E-09,3.39028063172804E-09,3.55333923669142E-09,3.72885111426818E-09,3.88703397515297E-09,0.000000004,4.13734638659191E-09,4.09665025000585E-09,4.08782572837003E-09,0.000000004,4.06492024080355E-09,4.12716823025789E-09,4.17433102308543E-09,4.13387398096765E-09,4.14531568701161E-09,4.26364659478722E-09,4.18489724943836E-09,3.94544349658383E-09,3.77957458070466E-09,3.60871039047749E-09
3,BU03630002,Grachtengordel-West,4565,63.8327855423,71.514974025,0.000000012,1.19167923110468E-08,0.000000012,1.21358256565687E-08,1.24976072986333E-08,1.33155855842404E-08,1.47955315168738E-08,0.000000016,1.64815834119018E-08,1.65633867160379E-08,1.63788316170758E-08,1.60610570305092E-08,1.58106765987847E-08,1.57946148728263E-08,1.56323805786357E-08,1.55280599617302E-08,1.55626284466768E-08,1.56049185034783E-08,1.53965478065459E-08,0.000000015,1.44686952256725E-08,1.37183913574897E-08,1.30817597397052E-08,1.26746599081917E-08,1.35312813574224E-08,1.33229976569756E-08,1.32552878163477E-08,1.33461850064211E-08,1.34305782783027E-08,1.36918694993237E-08,1.40971363368266E-08,1.4484134830345E-08,1.50524574172325E-08,1.55345730707801E-08,1.58754995835886E-08,1.59276695583176E-08,1.57014911973291E-08,1.55423300658386E-08,1.53819996120659E-08,1.53577717844026E-08,1.55917169255803E-08,0.000000016,0.000000016,0.000000016,1.56457584999974E-08,1.51188110938566E-08,1.45193153543106E-08,0.000000014,6.47951501841833E-09,6.37522015844018E-09,6.32514729022551E-09,6.48107417422187E-09,6.75078930393091E-09,7.26254158821429E-09,7.91823082387495E-09,8.59146030975971E-09,8.79086914729332E-09,8.67888813866388E-09,8.5287146234997E-09,8.47115853900635E-09,8.37837684106757E-09,8.30820587675873E-09,8.23617297903797E-09,8.24251262996179E-09,0.000000008,7.75057817919039E-09,7.66656177322557E-09,7.82300727538035E-09,7.71256603057477E-09,7.414944236431E-09,7.09615162724544E-09,6.82085387977445E-09,6.15188945332549E-09,6.06183623347247E-09,0.000000006,5.94511657730137E-09,5.91451361608331E-09,5.93806180022154E-09,6.22365823854262E-09,6.53106652975317E-09,6.80812312349921E-09,0.000000007,7.24654422486074E-09,7.17526511840073E-09,7.15980900708638E-09,7.08885525268822E-09,7.11969014510749E-09,7.22871722825222E-09,7.3113226550302E-09,7.24046232149283E-09,7.26050241992986E-09,7.46775849090879E-09,7.32982935459119E-09,6.91042714657385E-09,6.61990846089082E-09,6.32064057388507E-09
4,BU03630003,Grachtengordel-Zuid,2805,52.0622444904,53.8778154391,0.000000009,0.000000009,0.000000009,9.14286530674168E-09,9.4154236737991E-09,0.00000001,1.11466294612768E-08,0.000000012,1.24168640388536E-08,1.24784928569109E-08,1.2339453086628E-08,1.2100048671543E-08,1.19114175369599E-08,1.18993169843327E-08,1.17770932195973E-08,1.169850035117E-08,1.17245434907692E-08,1.17564038935215E-08,1.15994219732272E-08,1.13325522292057E-08,1.09003981563478E-08,1.03351356517559E-08,9.85551133148843E-09,9.5488112328502E-09,1.0194171074926E-08,0.00000001,0.00000001,1.00547235372088E-08,1.01183035802519E-08,1.03151546645731E-08,1.06204738256615E-08,1.0912030016421E-08,1.13401918086002E-08,1.17034071849081E-08,0.000000012,0.000000012,1.18291596463787E-08,1.17092511351272E-08,1.15884616820735E-08,1.15702089672382E-08,1.17464581138133E-08,1.20877391937448E-08,1.20899646612929E-08,0.000000012,1.17871718526097E-08,1.13901812155965E-08,1.0938534252815E-08,1.05734185832758E-08,4.88152473040375E-09,4.80295126668152E-09,4.76522746423375E-09,4.88269936424469E-09,5.08589683690988E-09,5.47143980184921E-09,0.000000006,6.47261806680893E-09,6.6228483184735E-09,6.538484278664E-09,6.42534684074746E-09,6.38198534701824E-09,6.31208564746826E-09,6.25922037951901E-09,6.2049523717087E-09,6.20972852589289E-09,0.000000006,5.83911588276265E-09,5.77581976224882E-09,5.89368237782394E-09,5.81047836236251E-09,5.58625661979533E-09,5.34608524876129E-09,5.13868195411901E-09,4.63469880380784E-09,4.56685467990113E-09,4.5126837403875E-09,4.47892064679775E-09,4.45586504594106E-09,4.47360573222701E-09,4.68876783504129E-09,4.92036251019983E-09,5.12909088111158E-09,5.30668690626744E-09,5.45938773859917E-09,5.40568762061865E-09,5.39404332480292E-09,5.34058831994144E-09,5.36381865268643E-09,5.44595726971902E-09,5.50819038941024E-09,5.4548057657796E-09,5.46990353711619E-09,5.62604572262453E-09,5.52213293161106E-09,5.20616449190485E-09,0.000000005,4.76183220282819E-09
5,BU03630004,Nieuwmarkt/Lastage,6230,108.4814078228,57.4291957031,9.64522566494387E-09,9.5696293974051E-09,9.62660530941479E-09,9.74552135621486E-09,0.00000001,1.06929126500332E-08,1.18813645197843E-08,1.28283910294237E-08,1.32353271767699E-08,1.330101828589E-08,1.31528136470601E-08,1.28976287830479E-08,1.26965639429948E-08,1.26836657770377E-08,1.25533855782703E-08,1.24696122258247E-08,1.24973720106002E-08,1.25313325060273E-08,1.2364003052356E-08,1.20795424699856E-08,1.16189027684354E-08,0.000000011,1.05051417619174E-08,1.01782253893194E-08,1.08661244135734E-08,1.06988648213299E-08,1.06444912898918E-08,1.07174851291367E-08,1.07852560791089E-08,0.000000011,1.13205271004907E-08,1.16313013477595E-08,1.20876856156674E-08,1.24748424956998E-08,1.2748619221363E-08,1.27905136599668E-08,1.26088839868234E-08,1.24810716525072E-08,1.23523203087165E-08,1.2332864458032E-08,1.25207311458083E-08,1.28845079205238E-08,1.28868800807591E-08,1.28304887597937E-08,1.25641285488783E-08,1.21409700967488E-08,1.1659552622731E-08,1.12703701907905E-08,5.20329261287069E-09,5.11953994419995E-09,5.07932956046814E-09,5.2045446732258E-09,5.42113599804027E-09,5.83209219967917E-09,6.3586351502787E-09,6.89926357705345E-09,7.05939632284236E-09,0.000000007,6.848876447017E-09,6.80265676106539E-09,6.72814959160562E-09,6.67179968591232E-09,6.61395457813362E-09,6.61904555465367E-09,6.39074086617699E-09,6.22400381365309E-09,6.15653550109049E-09,6.2821670836032E-09,6.19347863830759E-09,0.000000006,5.69847484524693E-09,5.47740046982162E-09,4.94019704510221E-09,4.86788094547214E-09,4.81013930429025E-09,4.7741507013095E-09,4.74957538022678E-09,4.76848545177144E-09,0.000000005,5.24469040226517E-09,5.46717719695398E-09,5.65647954341413E-09,5.81924571929811E-09,5.76200593406092E-09,5.7495940992867E-09,5.69261558390925E-09,5.71737715441071E-09,5.8049299750643E-09,5.87126521863039E-09,5.81436172369404E-09,5.83045467137024E-09,0.000000006,5.88612678972647E-09,5.54933114922018E-09,5.31603379180709E-09,5.07571049889086E-09
6,BU03630005,Haarlemmerbuurt,5650,81.5525188267,69.2805088216,1.16356521031757E-08,1.15444554946219E-08,1.16131891783567E-08,1.17566452050083E-08,1.21071230816525E-08,1.28995438663132E-08,1.4333249305477E-08,1.54757079043151E-08,0.000000016,0.000000016,1.58670796403791E-08,1.55592338311894E-08,1.53166764654721E-08,1.53011165836135E-08,1.51439512542112E-08,0.000000015,1.50763785079523E-08,1.51173472238505E-08,1.49154870106042E-08,1.45723240314778E-08,0.000000014,1.32897640867279E-08,1.26730238443752E-08,1.22786437323362E-08,1.31085002858666E-08,1.29067243509253E-08,1.28411300851804E-08,1.29291872181738E-08,0.000000013,1.32640708965438E-08,1.36566752859534E-08,0.000000014,1.45821476285061E-08,0.000000015,1.53794740743894E-08,1.54300140129647E-08,1.52109025311057E-08,1.50567143443013E-08,1.49013933703597E-08,1.48779225343419E-08,1.51045581255325E-08,1.55434052962306E-08,1.55462669847166E-08,1.54782385305171E-08,1.51569111861912E-08,1.46464281032092E-08,1.4065663439048E-08,1.35961678004766E-08,6.27706439823769E-09,6.17602820175892E-09,6.12751984619612E-09,6.27857483865767E-09,6.53986279517142E-09,0.000000007,7.6708279339256E-09,8.32302255430671E-09,8.51620091892477E-09,8.40771872534261E-09,8.26223733932594E-09,8.20647957846757E-09,8.11659681852581E-09,0.000000008,0.000000008,0.000000008,7.70955911074748E-09,7.50841354886307E-09,7.42702221181846E-09,7.57857961836027E-09,7.47158907911535E-09,7.18326639403027E-09,6.87443437005134E-09,6.60773822309388E-09,0.000000006,5.87243586918416E-09,5.80277843741449E-09,5.75936308576696E-09,5.72971630544521E-09,5.75252873320825E-09,0.000000006,6.3270051971332E-09,6.59540523570967E-09,6.82377275371713E-09,0.000000007,0.000000007,6.93610279300411E-09,6.86736596866032E-09,6.89723743355828E-09,0.000000007,7.0828824397295E-09,0.000000007,0.000000007,7.23443048201519E-09,7.10081090267973E-09,6.69451279842276E-09,6.41307128717692E-09,6.1231539409373E-09
7,BU03630006,Jordaan,12970,95.850871426,135.3143670688,2.27260296807043E-08,2.25479101550948E-08,2.26821564975234E-08,0.000000023,2.36468773784048E-08,2.51945842118612E-08,0.000000028,3.02261870709752E-08,3.11850078683311E-08,3.13397889120808E-08,0.000000031,3.03893246997408E-08,2.99155767874032E-08,2.98851861970167E-08,2.95782206819685E-08,2.93808343521648E-08,2.94462418101811E-08,2.9526259349828E-08,2.91319985763957E-08,2.84617540572409E-08,2.73763972296045E-08,0.000000026,2.47521594387425E-08,0.000000024,2.56027048526844E-08,2.52086086863787E-08,2.50804940592841E-08,2.52524817571166E-08,2.5412163310878E-08,2.59065556626215E-08,2.66733660594415E-08,2.74056106966095E-08,2.84809408940126E-08,2.93931578863722E-08,0.00000003,3.01369406134626E-08,2.97089857385698E-08,2.94078349926846E-08,2.91044717576436E-08,2.90586299851978E-08,2.95012804809698E-08,3.03584093928815E-08,3.03639986642773E-08,3.02311297321743E-08,2.96035332124761E-08,2.86064895064186E-08,2.74721762012253E-08,2.65551866141765E-08,1.22599705248241E-08,1.20626329300214E-08,0.000000012,1.22629206228084E-08,1.27732519563931E-08,1.37415447844044E-08,0.000000015,1.62560083375749E-08,1.66333122659711E-08,1.64214316142195E-08,1.61372864483716E-08,0.000000016,1.58528304703939E-08,1.57200591207359E-08,1.55837647838351E-08,1.55957601157762E-08,1.50578298167038E-08,1.46649648557207E-08,1.45059963746225E-08,1.48020088446464E-08,1.45930415990744E-08,0.000000014,1.34267162808349E-08,1.29058220071198E-08,1.16400661400361E-08,1.14696753286983E-08,1.13336247792455E-08,1.12488286233111E-08,1.11909243817992E-08,1.12354801923232E-08,1.17758607464015E-08,1.23575117771676E-08,1.28817339856785E-08,1.33277671728455E-08,1.37112759752988E-08,1.35764078961676E-08,1.35471631967413E-08,1.34129107202713E-08,1.34712538016781E-08,1.3677545294477E-08,1.38338440444003E-08,1.36997683306968E-08,1.37376864488667E-08,1.41298382247434E-08,1.38688607995872E-08,1.30753046933473E-08,1.25256106941421E-08,0.000000012
8,BU03630007,De Weteringschans,4650,65.3963628075,71.1048718977,1.19420536355034E-08,1.18484555473972E-08,1.19189991946676E-08,1.20662328477038E-08,1.24259398554271E-08,1.32392274501742E-08,1.47106866430228E-08,1.58832295948651E-08,1.63870698850405E-08,1.6468404088691E-08,1.62849073196761E-08,0.000000016,1.57200103824347E-08,1.57040407623334E-08,1.55427367995886E-08,1.5439014408544E-08,1.54733846607512E-08,1.55154322055124E-08,1.53082564089103E-08,0.000000015,1.43857245922884E-08,1.36397233364837E-08,0.000000013,1.26019771580121E-08,1.34536863174265E-08,1.32465970184292E-08,1.31792754594173E-08,1.32696514001786E-08,1.33535607194222E-08,1.36133535677312E-08,0.000000014,1.44010756586539E-08,0.000000015,1.54454901682149E-08,1.57844616402776E-08,1.58363324466449E-08,1.56114511039137E-08,1.54532026808385E-08,1.52937916409516E-08,1.52697027475996E-08,1.55023063319722E-08,0.000000016,0.000000016,1.58858268600263E-08,1.55560380053521E-08,0.000000015,1.44360544401465E-08,0.000000014,6.44235828405391E-09,6.33866150223388E-09,6.28887577653803E-09,6.4439084988892E-09,6.71207694903963E-09,7.22089459336409E-09,7.87282378360688E-09,8.54219263962933E-09,8.74045796855387E-09,8.62911911424921E-09,8.47980676807618E-09,8.42258073855399E-09,8.33033109662471E-09,8.26056252722868E-09,8.1889427016651E-09,8.19524599790424E-09,7.91257486819343E-09,7.70613254186163E-09,7.62259792739969E-09,7.77814629389701E-09,7.66833837365113E-09,7.37242328964147E-09,7.05545879448346E-09,6.78173974005429E-09,6.11661148551358E-09,0.000000006,0.000000006,5.91102434712668E-09,5.8805968783795E-09,5.90401002561755E-09,6.18796871312488E-09,6.49361417360111E-09,6.76908198821345E-09,0.000000007,7.2049889667808E-09,7.13411860986716E-09,7.11875113151697E-09,0.000000007,7.07886233087652E-09,7.18726419896188E-09,7.26939592548743E-09,7.19894194004598E-09,7.21886711867618E-09,7.42493468113975E-09,7.28779649850691E-09,6.87079934957051E-09,6.58194664129491E-09,6.28439490393149E-09
9,BU03630008,Weesperbuurt/Plantage,4715,85.6824533539,55.0287697824,9.24207445563862E-09,9.16963796141527E-09,9.22423239385922E-09,9.33817798690956E-09,9.61655882902116E-09,1.02459702128517E-08,1.13847471631E-08,1.22921898521149E-08,1.26821168795491E-08,1.27450622312341E-08,1.26030522509269E-08,1.23585336056324E-08,1.21658728751597E-08,1.21535138268328E-08,0.000000012,1.19484072874394E-08,0.000000012,0.000000012,1.18472123669366E-08,1.1574641669963E-08,1.11332557898561E-08,1.05559179750561E-08,1.00660477736209E-08,9.75279585383438E-09,1.04119420698969E-08,1.02516735952512E-08,1.01995727690576E-08,1.0269515611303E-08,1.03344538706377E-08,1.05355101479245E-08,1.08473516301517E-08,1.11451361332756E-08,1.15824444483851E-08,0.000000012,1.22157523466413E-08,1.22558956812094E-08,1.2081857766405E-08,0.000000012,1.18360179386969E-08,1.18173753037943E-08,0.000000012,1.23459611690112E-08,1.23482341776765E-08,1.22941999015363E-08,0.000000012,1.16335017443563E-08,1.11722065612597E-08,1.07992911793113E-08,0.000000005,4.9055533780699E-09,4.86702370823648E-09,0.000000005,5.19454331795798E-09,5.58832236942772E-09,6.09285687412257E-09,6.61088811016168E-09,6.76432762633038E-09,6.67816137614456E-09,6.5626070617363E-09,6.51831926653898E-09,6.44692634826555E-09,6.39293175632163E-09,6.33750445875945E-09,6.34238264260757E-09,6.12362063508485E-09,0.000000006,5.8992045874742E-09,0.000000006,5.93460357518542E-09,5.7055919392945E-09,5.46028995410367E-09,5.2484560469572E-09,4.73370665471374E-09,4.66441322391807E-09,4.60908506825517E-09,4.57460071715166E-09,4.55105259551017E-09,4.56917226375312E-09,4.78893072510067E-09,0.000000005,5.23866008651986E-09,5.42004997218843E-09,5.57601284632281E-09,5.52116557002635E-09,5.50927252520819E-09,5.45467559821206E-09,5.4784021844178E-09,5.56229547166588E-09,5.62585803426085E-09,5.57133299200091E-09,5.58675328653842E-09,5.74623102908667E-09,5.64009842130508E-09,5.31738016731888E-09,5.09383417447061E-09,4.86355591622014E-09
10,BU03630009,Oostelijke Eilanden/Kadijken,7675,135.3760258915,56.6939378628,9.52173920993105E-09,9.44711079067442E-09,9.50335724817059E-09,9.62075082970405E-09,9.9075554634852E-09,1.05560128072734E-08,1.17292490964411E-08,1.26641509601116E-08,1.30658771617293E-08,1.31307272369045E-08,0.000000013,1.27325022726047E-08,1.25340116371569E-08,1.25212786045876E-08,1.23926663647113E-08,1.2309965550605E-08,1.23373699307966E-08,1.23708956348216E-08,1.22057084763926E-08,1.19248898024781E-08,1.14701476056373E-08,1.08753395747191E-08,1.03706459231833E-08,0.00000001,1.0727006965193E-08,1.05618887737659E-08,1.05082113789322E-08,1.0580270688415E-08,1.06471739765351E-08,1.08543142076632E-08,1.11755919990138E-08,1.14823874477104E-08,1.19329286926217E-08,1.23151288580774E-08,1.25854004591856E-08,1.2626758529239E-08,1.24474542350178E-08,1.23212782638745E-08,1.21941753052616E-08,1.21749685450715E-08,1.23604300023126E-08,1.27195493946209E-08,1.27218911844255E-08,1.26662218335374E-08,1.24032717945916E-08,0.000000012,1.15102770256188E-08,1.11260772411085E-08,5.13667559617474E-09,5.05399520103199E-09,0.000000005,5.13791162657886E-09,5.35172996340767E-09,5.75742475113374E-09,6.27722644708147E-09,6.81093328485243E-09,0.000000007,6.88024223681597E-09,6.76119125408919E-09,6.71556331221577E-09,6.64201004747002E-09,6.58638158162023E-09,6.52927705654509E-09,6.53430285401544E-09,6.30892111805664E-09,6.14431877634725E-09,6.07771425101301E-09,6.20173739020869E-09,6.11418441048854E-09,5.8782428928715E-09,5.62551808072282E-09,5.40727408914376E-09,4.87694840361301E-09,4.80555815674097E-09,4.7485557735945E-09,4.71302792758899E-09,4.68876724085354E-09,4.70743520943656E-09,4.93384355186779E-09,5.17754337554818E-09,5.39718170338741E-09,5.584060438778E-09,5.74474274241739E-09,5.6882357900252E-09,5.67598286220969E-09,5.6197338346763E-09,5.64417838630563E-09,5.73061028062484E-09,5.79609624348408E-09,5.73992127591575E-09,5.7558081878673E-09,5.92011171967953E-09,5.81076754399507E-09,5.4782838502648E-09,5.24797336580125E-09,0.000000005
