id,bu_code,bu_naam,adam_total_household,area_ha,hh_per_ha
1,BU03630000,Burgwallen-Oude Zijde,3004,40.6622527267,73.8768710182
2,BU03630001,Burgwallen-Nieuwe Zijde,3082,75.482228532,40.8308029577
3,BU03630002,Grachtengordel-West,4565,63.8327855423,71.514974025
4,BU03630003,Grachtengordel-Zuid,2805,52.0622444904,53.8778154391
5,BU03630004,Nieuwmarkt/Lastage,6230,108.4814078228,57.4291957031
6,BU03630005,Haarlemmerbuurt,5650,81.5525188267,69.2805088216
7,BU03630006,Jordaan,12970,95.850871426,135.3143670688
8,BU03630007,De Weteringschans,4650,65.3963628075,71.1048718977
9,BU03630008,Weesperbuurt/Plantage,4715,85.6824533539,55.0287697824
10,BU03630009,Oostelijke Eilanden/Kadijken,7675,135.3760258915,56.6939378628
11,BU03630110,Westelijk Havengebied,190,2846.618271085,0.0667458654
12,BU03630111,Bedrijventerrein Sloterdijk,100,681.8173669247,0.146666842
13,BU03630212,Houthavens,1155,89.5231588081,12.9016895223
14,BU03630213,Spaarndammer- en Zeeheldenbuurt,6275,140.1743909744,44.7656662275
15,BU03630214,Staatsliedenbuurt,7825,53.9271440144,145.1031784274
16,BU03630215,Centrale Markt,1265,57.7146433479,21.918181013
17,BU03630216,Frederik Hendrikbuurt,5060,40.013306123,126.4579333796
18,BU03630217,Da Costabuurt,2960,26.006223061,113.8189114604
19,BU03630218,Kinkerbuurt,3625,26.9991170765,134.2636497975
20,BU03630219,Van Lennepbuurt,4515,28.3433843376,159.2964321487
21,BU03630220,Helmersbuurt,4550,34.9284588398,130.2662685711
22,BU03630221,Overtoomse Sluis,4790,31.5759741196,151.6976161007
23,BU03630222,Vondelbuurt,1055,22.5858534809,46.7106545649
24,BU03630236,Sloterdijk,64,51.2567393837,1.2486162946
25,BU03630237,Landlust,10095,107.2681591232,94.1099398229
26,BU03630238,Erasmuspark,3305,41.0061678761,80.5976313121
27,BU03630239,De Kolenkit,4475,74.7544239796,59.8626778426
28,BU03630240,De Krommert,7430,57.3325092411,129.5948860141
29,BU03630241,Van Galenbuurt,4345,31.3297249901,138.6861838517
30,BU03630242,Hoofdweg en omgeving,6110,41.0847813538,148.7168678685
31,BU03630243,Westindische buurt,4000,34.2319826344,116.8497905225
32,BU03630376,Slotermeer-Noordoost,4555,99.9307760262,45.5815533626
33,BU03630377,Slotermeer-Zuidwest,7980,282.4420592831,28.2535824171
34,BU03630378,Geuzenveld,6190,142.4777067642,43.4453932519
35,BU03630379,Eendracht,1005,241.3456349239,4.1641523797
36,BU03630380,Lutkemeer en Ookmeer,365,567.8770533966,0.6427447593
37,BU03630381,Osdorp-Oost,8440,177.1372011826,47.6466825921
38,BU03630382,Osdorp-Midden,6765,111.6108821999,60.6123692122
39,BU03630383,De Punt,2500,59.650532085,41.9107745164
40,BU03630384,Middelveldsche Akerpolder en Sloten,6100,214.6592634819,28.4171290866
41,BU03630385,Slotervaart,8395,283.8918619801,29.5711188811
42,BU03630386,Overtoomse Veld,5470,153.7615379131,35.5745661382
43,BU03630387,Westlandgracht,3815,149.6976343842,25.4847046561
44,BU03630388,Sloten- en Riekerpolder,5730,519.2047314526,11.0361089815
