Profiles,Selected_Days,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
Profile1,02/11/15,53632.8726547304,52322.0896163255,52117.8734183132,52203.3592686439,53751.6030024119,59835.3460176169,70687.2997957147,76623.8171797945,79316.6214652131,79896.0255618993,79995.7590539518,79112.4052672008,79079.1607698499,78665.979159918,78034.3337102519,77996.3399989938,79549.332946669,79734.5522890523,77407.4374744931,73755.2919798072,69381.2659712172,64304.3563043522,59930.3302957622,56183.200522931
Profile1,02/15/15,50322.6705613675,48764.9283997849,48218.7688004496,47957.5620355501,48223.5180143569,49553.2979083907,51794.9268726193,54231.2736070456,57403.7484970978,58975.7383004022,59512.399471923,59616.8821778828,58462.8231984177,57147.2909461056,57099.7988070329,58766.7728884825,62822.6015652858,67733.2887453966,67543.3201891061,65672.1299096441,62452.1628805193,59113.4655037128,55005.3954739296,52022.8891401679
Profile1,08/12/15,49543.7994805762,48959.6461699827,48826.6681805794,50175.4449302423,53252.9355421492,58424.8294871595,64166.6291010415,67144.3862208959,68383.9310506918,68706.8775963857,67932.7557295017,68179.7148526794,68027.740007647,67386.5961301664,67305.8594937429,67647.8028950659,64822.0206202439,62827.3507791931,61250.6117619815,61768.2760778733,60229.5307719198,57242.2752242509,53547.3868043996,50631.3694653396
Profile1,08/16/15,46675.2742805888,45886.9047719831,45397.7357395349,45321.7483170187,44785.0871454978,45620.9487931763,48290.0070090586,51144.2845673241,53362.1674620163,54653.9536447921,55485.0660785632,55105.1289659821,54630.2075752558,54031.8066229405,54297.7626017473,56487.1502129959,57194.7830851782,56648.6234858429,56643.8742719356,57626.9615507392,56012.2288222695,52592.7948090396,49733.7680368667,47667.859987207
Profile2,02/11/15,17380.1743408676,16955.4042958769,16889.2263540849,16916.9287483234,17418.6498884211,19390.1369450625,22906.8019914525,24830.5793691276,25703.204787641,25890.9654597021,25923.284919647,25637.026845849,25626.253692534,25492.3587870478,25287.6688740632,25275.3566988461,25778.6168608459,25838.6387150293,25084.5179829807,23901.010140235,22483.570968364,20838.3565549763,19420.9173831053,18206.6291023168
Profile2,02/15/15,16307.476075076,15802.676891174,15625.6893724279,15541.0431678102,15627.2283943301,16058.1545269293,16784.5728647394,17574.0911005372,18602.1577311668,19111.5739807752,19285.483455717,19319.3419375641,18945.359615344,18519.0505484512,18503.6603294298,19043.857017081,20358.1817215086,21949.5303683214,21887.9694922358,21281.5948627926,20238.1380131417,19156.2056159372,17824.9516705861,16858.4459160421
Profile2,08/12/15,16055.076483125,15865.7767891618,15822.6841759019,16259.7663961096,17257.0525886964,18933.0474401269,20793.7249198142,21758.691652456,22160.3763689146,22265.0298582601,22014.1692882113,22094.1984271226,22044.9497262541,21837.1817694652,21811.0183971288,21921.8279740829,21006.1099423096,20359.7207434107,19848.7654719002,20016.5188592335,19517.8757629401,18549.830986494,17352.4719466291,16407.5124987151
Profile2,08/16/15,15125.5072542324,14870.0296184772,14711.5103625568,14686.8860121225,14512.9765371807,14783.8443919573,15648.77470096,16573.7268641462,17292.4500924456,17711.0640498277,17980.3928827022,17857.271130531,17703.368940317,17509.4521806474,17595.6374071672,18305.1265040538,18534.4407674726,18357.4532487265,18355.9142268244,18674.4917605674,18151.2243138398,17043.1285442989,16116.6373592106,15447.1628317797
Profile3,02/11/15,23382.7965403634,22811.3228978291,22722.2889607676,22759.5589809329,23434.5604572597,26086.9435590223,30818.1655633374,33406.3614081487,34580.3670433552,34832.9749578088,34876.4566480016,34491.3331062937,34476.8392095627,34296.7007787638,34021.3167408759,34004.7522874691,34681.8243204718,34762.5760308299,33748.0032596638,32155.7451759359,30248.7624774789,28035.3373909963,26128.3546925393,24494.6854752944
Profile3,02/15/15,21939.6185372967,21260.4759476182,21022.3619298955,20908.4813127238,21024.4324865714,21604.1883558091,22581.4911068099,23643.6866815204,25026.8185409876,25712.1728006936,25946.1457050646,25991.6979519333,25488.5526797019,24915.0084804917,24894.3029137333,25621.0683069563,27389.3237081314,29530.2793109593,29447.4570439253,28631.6577136408,27227.8202874152,25772.2189442933,23981.1874196838,22680.8778272506
Profile3,08/12/15,21600.0472424574,21345.368771328,21287.3931844042,21875.4312803453,23217.1520062955,25471.9882262951,27975.2912473967,29273.530283154,29813.9455755506,29954.7434295084,29617.242691345,29724.9116384891,29658.6538248619,29379.1286736223,29343.9292101329,29493.009290794,28261.0280686638,27391.3942648072,26703.9694484253,26929.6601260929,26258.7997631178,24956.4196140087,23345.5265201982,22074.2047212268
Profile3,08/16/15,20349.4310102446,20005.7186020536,19792.4512644412,19759.3223576276,19525.3494532566,19889.7674282061,21053.4202800333,22297.8248422185,23264.77480984,23827.966225671,24190.3136439446,24024.6691098767,23817.6134422917,23556.7233011348,23672.6744749823,24627.2011025487,24935.7140472502,24697.6000295276,24695.5294728518,25124.1347047525,24420.1454349638,22929.3446283525,21682.8695094914,20782.177355497
Profile4,02/11/15,15267.955456581,14894.8078690474,14836.6725564969,14861.0082687274,15301.7550569011,17033.6465773013,20122.9300465555,21812.9100625589,22579.484997818,22744.42704738,22772.8187116488,22521.3496852675,22511.8857971779,22394.2631880641,22214.4493143613,22203.6334422589,22645.7322144454,22698.4595909447,22035.9874246713,20996.3117188261,19751.1344430348,18305.8635333487,17060.6862575574,15993.970871456
Profile4,02/15/15,14325.6225996575,13882.1718434582,13726.6936819859,13652.3345612818,13728.0456659987,14106.6011895835,14744.7376436263,15438.3054421941,16341.4307627463,16788.937470984,16941.7116644307,16971.4553127124,16642.9231976013,16268.423626055,16254.903785927,16729.4501744207,17884.0445213542,19281.9959905922,19227.9166300801,18695.2349290359,17778.5897683556,16828.1450073553,15658.678836281,14809.6328762409
Profile4,08/12/15,14103.8972215579,13937.6031879831,13899.7476356246,14283.7110952606,15159.7967355568,16632.1073254989,18266.6559969774,19114.3499730047,19467.2178003462,19559.1527132168,19338.7793191299,19409.0824877957,19365.818999386,19183.3011576576,19160.31742944,19257.6602783618,18453.2297907442,17885.396505367,17436.5378131165,17583.904070512,17145.8612503639,16295.463306311,15243.6197443505,14413.5015604897
Profile4,08/16/15,13287.298877825,13062.8695316998,12923.6151783811,12901.9834341762,12749.2092407295,12987.1584269828,13746.9734421779,14559.5158338724,15190.8923678512,15558.6320193336,15795.229221574,15687.0705005498,15551.8720992696,15381.5221136564,15457.2332183734,16080.4978482754,16281.943466183,16126.4653047107,16125.1133206979,16404.9740113481,15945.2994469951,14971.8709577772,14157.97658207,13569.8635365008
Profile5,02/11/15,3266.2010074576,3186.3753209209,3173.9387103373,3179.1447333723,3273.4315950062,3643.9269009969,4304.8026029398,4666.3319803702,4830.3217059727,4865.6069732099,4871.6806667507,4817.885095389,4815.8605308754,4790.6980862063,4752.2313604477,4749.9175724321,4844.4936575679,4855.7733741438,4714.053858191,4491.6409851958,4225.2661399051,3916.0862163266,3649.7113710358,3421.5140280017
Profile5,02/15/15,3064.6122266024,2969.7469179646,2936.486215241,2920.5789226341,2936.775438743,3017.7580192874,3154.2715122051,3302.6431687026,3495.8444680014,3591.577447145,3624.2597028647,3630.6226199075,3560.341308935,3480.2263988964,3477.334163877,3578.8516130594,3825.8484837199,4124.9055847304,4113.3366446526,3999.3825848865,3803.2890505683,3599.9649287014,3349.7865995195,3168.1542402985
Profile5,08/12/15,3017.1795722835,2981.6050815443,2973.5068234899,3055.6462980421,3243.063127302,3558.0275209194,3907.6987347702,4089.0418704893,4164.5292044968,4184.196402629,4137.052971812,4152.0925939131,4142.8374418509,4103.7922690884,4098.8754695554,4119.6995616954,3947.6115780385,3826.1377072219,3730.1155045763,3761.6408662883,3667.9324516583,3486.0108689353,3260.9949844226,3083.4117542288
Profile5,08/16/15,2842.4885771091,2794.4774757864,2764.6874550861,2760.059879055,2727.3776233353,2778.2809596775,2940.8245677702,3114.6478924388,3249.7152678468,3328.3840603756,3378.9981732159,3355.8602930603,3326.9379428659,3290.4957816209,3306.6922977298,3440.0243321261,3483.1186339159,3449.8579311923,3449.5687076903,3509.4379725928,3411.1019819317,3202.8610605318,3028.7485123613,2902.9362890155
