Profiles,Selected_Days,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
Profile1,02/11/15,59587.5264658309,58131.212173387,57904.3226278251,57999.2996468975,59719.4389923204,66478.6368496417,78535.4417707808,85131.0680952552,88122.8441960367,88766.5773253054,88877.3838475566,87895.9546504748,87859.0191430578,87399.9635508744,86698.1889099503,86655.9769014736,88381.3927479561,88587.1762892797,86001.6907700858,81944.0614552692,77084.4039793965,71443.824346706,66584.1668708333,62421.0075348251
Profile1,02/15/15,55909.8052273041,54179.112879762,53572.3152579104,53282.1076996335,53577.5917589699,55055.0120556522,57545.5205557737,60252.365599338,63777.0683071371,65523.5901578579,66119.8347775903,66235.9178009011,64953.7280434233,63492.1372499198,63439.372239324,65291.4241112364,69797.5560161172,75253.4581117224,75042.3980693392,72963.4566518649,69385.98893347,65676.6086885857,61112.4352720494,57798.7926066335
Profile1,08/12/15,55044.459053533,54395.4494232048,54247.7073935365,55746.2336944571,59165.4063810646,64911.5160349466,71290.8058159782,74599.1719803345,75976.3387568848,76335.1408289362,75475.0711562247,75749.4492113229,75580.6011774163,74868.2735343731,74778.5730163602,75158.48109265,72018.9629622002,69802.8325171768,68051.0341653964,68626.1727808906,66916.5864375868,63597.6672711113,59492.5494467585,56252.7777961767
Profile1,08/16/15,51857.452413547,50981.5532376568,50438.0736285202,50353.6496115669,49757.4049918344,50686.0691783204,53651.462773804,56822.6399106113,59286.7659054349,60721.9741936405,61645.3618790669,61223.2417943006,60695.5916883426,60030.7525548356,60326.2366141721,62758.7036026382,63544.9022605156,62938.1046386639,62932.8281376043,64025.0638569373,62231.0534966803,58431.972733783,55255.5190959162,52960.2411349991
Profile2,02/11/15,19309.8289771704,18837.8983300705,18764.3729031673,18795.1509888477,19352.5763183933,21542.9500826503,25450.0570704157,27587.4241315565,28556.93383049,28765.5408556573,28801.4486222845,28483.4084035867,28471.4391480444,28322.678400589,28095.2625452836,28081.5833960923,28640.7186192867,28707.4044715943,27869.5565836271,26554.6483676133,24979.8363169647,23151.9600062771,21577.1479556286,20228.0418666365
Profile2,02/15/15,18118.0331038783,17557.187987035,17360.55021741,17266.5060667198,17362.2601110589,17841.0303327545,18648.1001350412,19525.2755769334,20667.4845344071,21233.4593321972,21426.6773145243,21464.2949748004,21048.7908181146,20575.1502773658,20558.0513408767,21158.224011645,22618.4731878164,24386.5032207921,24318.1074748356,23644.409377164,22485.1014832012,21283.0462480156,19803.9882417062,18730.175030189
Profile2,08/12/15,17837.6105454566,17627.2936266404,17579.4166044708,18065.026400762,19173.0374852574,21035.1116689233,23102.3730904587,24174.4764083269,24620.7586506931,24737.0314188192,24458.3187540464,24547.2332237898,24492.5166270246,24261.6809844214,24232.6127923899,24355.7251351116,23338.3384140086,22620.1830814653,22052.4983900263,22238.8767977578,21684.8712555101,20609.348150344,19279.05089149,18229.1761910576
Profile2,08/16/15,16804.8347815134,16520.9924357939,16344.8733899559,16317.5150915733,16124.2971092462,16425.2383914548,17386.1986221437,18413.8447051402,19212.3650391824,19677.4561116867,19976.6875002464,19839.8960083334,19668.9066434421,19453.4600436791,19549.2140880182,20337.4750601669,20592.2492138549,20395.61144423,20393.901550581,20747.849535906,20166.4856952757,18935.3622680586,17906.0062914132,17162.2025541362
Profile3,02/11/15,25978.8994832287,25343.9772962659,25245.0582598913,25286.4662286062,26036.4105508884,28983.2776577702,34239.7892418646,37115.3426248484,38419.6936393698,38700.347649549,38748.6569463831,38320.7746029952,38304.6715040504,38104.5329885948,37798.5741086453,37780.1705669942,38532.4153319828,38622.1325975319,37494.9156714022,35725.8752301906,33607.1674976081,31147.9942444804,29029.2865118979,27214.2372165586
Profile3,02/15/15,24375.490916877,23620.945709182,23356.3947979475,23229.8704490962,23358.6952406539,24002.8191984423,25088.628155857,26268.7552642335,27805.4509921,28566.8975279141,28826.8475537359,28877.4572932764,28318.4497156243,27681.2270859551,27658.2226588913,28465.6780488331,30430.2561200876,32808.9138784918,32716.8961702364,31810.5217439199,30250.8215889895,28633.6103663994,26643.7274253746,25199.0494057635
