Profiles,Selected_Days,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
Profile1,02/11/15,40201.1884350137,40353.6015044596,40864.6335608369,41662.5608067593,42908.7617863461,44370.1341580916,47095.6384587705,50690.7938027582,52161.131649177,52322.5101932962,51219.756808482,49874.9356074891,48467.3560837833,48592.8727292093,48001.1514007724,47427.3610216821,46808.7432692254,46952.190863998,46988.0527626911,46889.432541285,45921.1612765701,44316.3413100519,42989.4510584056,42639.7975461475
Profile1,02/15/15,50592.173581352,50224.5891197473,50125.9688983412,50780.448549491,51121.1365870759,51910.098358325,53039.7481671591,53963.1920585075,55532.1501263325,57450.7617064157,59109.3745209736,59351.4423371523,58670.0662619826,58454.8948698237,57567.3128771684,56554.2142390871,55756.2869931647,55756.2869931647,55872.8381639174,56455.594017681,56258.3535748687,55012.152595282,53756.9861410219,52564.5780094749
Profile1,08/12/15,10866.1553040224,10579.2601144773,10364.0887223184,10543.3982157842,10462.7089437246,10659.9493865369,11377.1873603997,13645.4524527411,14129.5880850985,13322.6953645028,12874.4216308385,12417.1824225009,11968.9086888366,11906.1503661236,11538.5659045189,11395.1183097463,11260.636189647,11126.1540695477,11475.8075818059,12094.4253342626,12273.7348277283,12148.2181823023,12273.7348277283,12237.8729290352
Profile1,08/16/15,10507.536317091,10408.9160956849,10256.503026239,10041.3316340801,10148.9173301596,9844.0911912679,10068.2280581,10319.261348952,10731.6731839232,11395.1183097463,12112.3562836092,11906.1503661236,12067.5289102427,11977.8741635099,12013.736062203,11484.7730564792,11583.3932778853,11466.8421071326,11583.3932778853,12246.8384037085,12309.5967264215,11717.8753979846,11565.4623285387,10946.844576082
Profile2,02/11/15,10653.1544738605,10693.543328913,10828.9647840892,11040.4123193643,11370.650604794,11757.9084502978,12480.1562112375,13432.858027477,13822.491687984,13865.2563580396,13573.0311126594,13216.6588621958,12843.6559067105,12876.9173167537,12720.1135265497,12568.0613663519,12404.1301311386,12442.1431711881,12451.6464312004,12425.5124661664,12168.9244458326,11743.6535602793,11392.0329398218,11299.3761547012
Profile2,02/15/15,13406.724062443,13309.3156473163,13283.1816822823,13456.616177508,13546.8971476254,13755.9688678974,14055.3215582869,14300.0305036053,14715.7981291462,15224.2225398077,15663.7483153796,15727.895320463,15547.3333802281,15490.3138201539,15255.1081348479,14986.6410394986,14775.1935042235,14775.1935042235,14806.0790992637,14960.5070744646,14908.2391443966,14578.000858967,14245.3867585342,13929.4033631231
Profile2,08/12/15,2879.4877837464,2803.4617036475,2746.4421435733,2793.9584436351,2772.5761086073,2824.8440386753,3014.9092389226,3615.9904347046,3744.2844448716,3530.4610945934,3411.6703444388,3290.5037792812,3171.7130291266,3155.082324105,3057.6739089782,3019.6608689288,2984.0236438824,2948.3864188361,3041.0432039566,3204.9744391699,3252.4907392317,3219.2293291884,3252.4907392317,3242.9874792193
Profile2,08/16/15,2784.4551836228,2758.3212185888,2717.9323635362,2660.912803462,2689.4225834991,2608.644873394,2668.0402484713,2734.5630685579,2843.8505587,3019.6608689288,3209.7260691761,3155.082324105,3197.8469941606,3174.0888441297,3183.5921041421,3043.4190189597,3069.5529839937,3038.6673889535,3069.5529839937,3245.3632942224,3261.9939992441,3105.1902090401,3064.8013539875,2900.8701187742
Profile3,02/11/15,13435.6151473703,13486.5530281699,13657.344746145,13924.0195338604,14340.5116180451,14828.9160045352,15739.8051670688,16941.3398847529,17432.7406171723,17486.6748439013,17118.1242945867,16668.6724051787,16198.2460942649,16240.1949372764,16042.4361059368,15850.6699664561,15643.9220973284,15691.8636321986,15703.8490159161,15670.8892106929,15347.2838503191,14810.9379289589,14367.4787314096,14250.6212401635
Profile3,02/15/15,16908.3800795296,16785.5298964248,16752.5700912015,16971.3033440467,17085.1644893634,17348.8429311495,17726.3825182522,18035.006148979,18559.3666866217,19200.5847155105,19754.9087124471,19835.8100525405,19608.0877619071,19536.1754596018,19239.5372125925,18900.9501225718,18634.2753348564,18634.2753348564,18673.2278319384,18867.9903173486,18802.0707069021,18385.5786227173,17966.0901926031,17567.5761839947
